,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,11042,24,0,0,24,0,24
1,1900,5014,0,2,0,2,0,2
2,1941,2852,0,9,0,9,0,9
3,1944,1541,0,7,0,7,0,7
4,1946,1211,0,2,0,2,0,2
5,1948,1680,0,2,0,2,0,2
6,1949,14837,0,41,0,41,0,41
7,1950,21466,0,33,0,33,0,33
8,1951,14512,0,43,4,47,0,47
9,1952,34165,0,86,12,98,0,98
10,1953,60336,0,9,91,95,5,100
11,1954,97312,0,117,51,168,0,168
12,1955,27475,0,46,14,60,0,60
13,1956,172971,0,358,16,374,0,374
14,1957,39557,2,56,35,90,3,93
15,1958,197713,0,342,67,408,1,409
16,1959,87211,0,86,40,125,1,126
17,1960,168730,4,317,24,337,8,345
18,1961,93352,0,107,44,150,1,151
19,1962,221160,1,356,78,428,7,435
20,1963,251229,0,260,162,415,7,422
21,1964,204200,0,366,74,436,4,440
22,1965,234758,0,212,37,241,8,249
23,1966,177329,0,286,26,310,2,312
24,1967,139733,0,218,109,324,3,327
25,1968,270826,0,451,111,554,8,562
26,1969,6528148,2632,463,73,1350,1818,3168
27,1970,2448650,0,591,83,667,7,674
28,1971,429942,0,383,208,578,13,591
29,1972,403604,0,521,53,570,4,574
30,1973,241141,0,456,157,605,8,613
31,1974,383391,0,498,131,618,11,629
32,1975,349186,1,565,220,771,15,786
33,1976,460230,87,626,190,894,9,903
34,1977,528597,0,825,253,1070,8,1078
35,1978,440360,51,795,135,970,11,981
36,1979,440779,46,665,121,794,38,832
37,1980,598636,11,1046,304,1323,38,1361
38,1981,766227,55,1176,349,1550,30,1580
39,1982,786924,5,1035,423,1425,38,1463
40,1983,1055139,0,1612,391,1921,82,2003
41,1984,1083169,10,1482,448,1894,46,1940
42,1985,853234,2,1446,379,1798,29,1827
43,1986,1254034,2,1935,534,2400,71,2471
44,1987,1077975,1,1509,608,2069,49,2118
45,1988,1723780,41,2316,723,2976,104,3080
46,1989,1001053,1,1805,584,2310,80,2390
47,1990,935544,9,1345,472,1753,73,1826
48,1991,1122379,0,1328,627,1857,98,1955
49,1992,988190,6,1222,475,1638,65,1703
50,1993,702170,4,1016,251,1188,83,1271
51,1994,482815,0,665,314,931,48,979
52,1995,320793,1,191,178,323,47,370
53,1996,546420,0,89,168,192,65,257
54,1997,123913,0,55,31,28,58,86
55,1998,253427,0,12,11,13,10,23
56,1999,63278,0,12,11,0,23,23
57,2000,54193,0,28,6,18,16,34
58,2001,3464,0,3,0,0,3,3
59,2002,8503,0,1,1,0,2,2
