,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,2469,6,0,0,6,0,6
1,1931,843,0,0,4,4,0,4
2,1941,6274,0,6,12,18,0,18
3,1946,3128,0,4,0,4,0,4
4,1947,440,0,2,0,2,0,2
5,1949,9474,0,28,0,28,0,28
6,1950,15190,0,22,0,22,0,22
7,1951,9224,0,14,0,14,0,14
8,1952,37460,0,60,20,80,0,80
9,1953,57710,0,24,51,75,0,75
10,1954,67709,0,82,50,132,0,132
11,1955,9823,0,28,2,30,0,30
12,1956,126130,0,262,36,298,0,298
13,1957,33137,0,58,3,59,2,61
14,1958,70127,0,168,10,176,2,178
15,1959,86810,0,92,64,156,0,156
16,1960,323777,0,284,2,284,2,286
17,1961,66589,0,68,51,119,0,119
18,1962,134047,0,251,57,308,0,308
19,1963,98267,0,216,18,230,4,234
20,1964,151784,0,281,37,318,0,318
21,1965,73149,0,110,27,137,0,137
22,1966,109940,0,154,17,167,4,171
23,1967,131317,0,136,36,171,1,172
24,1968,159882,0,259,58,315,2,317
25,1969,3576390,1524,173,64,665,1096,1761
26,1970,753945,0,350,37,372,15,387
27,1971,290309,0,269,110,375,4,379
28,1972,156010,0,382,15,392,5,397
29,1973,120348,0,264,71,333,2,335
30,1974,175603,0,228,35,263,0,263
31,1975,173572,0,355,90,432,13,445
32,1976,285314,27,404,125,545,11,556
33,1977,410961,8,543,144,682,13,695
34,1978,280127,40,488,140,661,7,668
35,1979,279565,0,496,72,565,3,568
36,1980,393404,5,751,189,936,9,945
37,1981,399978,59,695,209,945,18,963
38,1982,414026,0,664,194,846,12,858
39,1983,446962,0,729,160,861,28,889
40,1984,504800,4,712,136,829,23,852
41,1985,739766,2,789,306,1068,29,1097
42,1986,512534,0,1060,227,1264,23,1287
43,1987,532493,0,657,371,997,31,1028
44,1988,763818,1,1033,367,1339,62,1401
45,1989,502399,0,824,302,1079,47,1126
46,1990,505229,0,844,174,965,53,1018
47,1991,401776,0,540,154,647,47,694
48,1992,369303,0,574,139,662,51,713
49,1993,247284,0,287,130,366,51,417
50,1994,206661,0,326,53,357,22,379
51,1995,403519,0,130,147,253,24,277
52,1996,15185,0,12,17,27,2,29
53,1997,4266,0,2,1,2,1,3
54,1998,19968,0,13,5,10,8,18
55,1999,33769,0,2,4,0,6,6
56,2000,106617,0,0,7,0,7,7
57,2001,5118,0,2,0,0,2,2
58,2002,2165,0,0,1,0,1,1
