,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,39859,30,0,0,30,0,30
1,1886,17870,0,10,4,14,0,14
2,1887,55164,80,0,0,80,0,80
3,1888,32403,26,5,0,31,0,31
4,1889,4316,0,0,5,5,0,5
5,1890,3033,0,0,4,4,0,4
6,1894,26006,0,43,0,43,0,43
7,1895,8975,0,8,0,8,0,8
8,1897,1860,2,0,0,0,2,2
9,1899,26877,0,28,0,28,0,28
10,1900,390569,40,1081,2,1105,18,1123
11,1901,63041,0,30,15,45,0,45
12,1910,10390,0,25,0,25,0,25
13,1912,42656,26,27,0,53,0,53
14,1913,13835,0,9,0,9,0,9
15,1915,1928,0,1,0,1,0,1
16,1916,20654,0,0,11,11,0,11
17,1917,10862,0,11,0,11,0,11
18,1918,5084596,2,13,0,12,3,15
19,1919,26976,0,0,15,7,8,15
20,1921,10260,0,12,1,12,1,13
21,1923,96919,0,143,0,143,0,143
22,1924,11609,0,11,0,4,7,11
23,1925,105699,0,2,0,0,2,2
24,1926,2160,0,2,2,4,0,4
25,1929,14342,0,23,0,23,0,23
26,1930,2930,0,3,2,4,1,5
27,1931,39044,12,16,2,28,2,30
28,1932,37692,0,26,55,81,0,81
29,1933,31489,0,6,38,41,3,44
30,1934,73653,0,31,66,97,0,97
31,1935,297849,3,3,74,80,0,80
32,1936,54958,0,73,3,76,0,76
33,1937,140863,0,80,108,188,0,188
34,1938,472252,0,143,16,157,2,159
35,1939,147392,27,115,29,171,0,171
36,1940,2560385,0,313,80,390,3,393
37,1941,545884,0,566,123,688,1,689
38,1942,619156,0,721,121,833,9,842
39,1943,678315,0,578,144,715,7,722
40,1944,860077,15,692,223,907,23,930
41,1945,737039,0,810,154,951,13,964
42,1946,1859216,9,1598,428,2021,14,2035
43,1947,1805274,0,1730,435,2122,43,2165
44,1948,2813280,0,2348,397,2713,32,2745
45,1949,2482173,27,1932,549,2468,40,2508
46,1950,3786664,32,2723,962,3668,49,3717
47,1951,4230119,12,3990,702,4624,80,4704
48,1952,4057803,4,4078,957,4852,187,5039
49,1953,8408585,0,6331,1439,7685,85,7770
50,1954,7819251,52,6322,2504,8747,131,8878
51,1955,8559848,1,7459,1990,9305,145,9450
52,1956,9955756,62,9539,2621,12002,220,12222
53,1957,16753118,20,10201,3741,13698,264,13962
54,1958,13013816,108,10447,3778,14053,280,14333
55,1959,13708332,71,12850,3780,16463,238,16701
56,1960,19088991,70,14523,4886,19051,428,19479
57,1961,16228437,42,13629,4545,17786,430,18216
58,1962,19547826,134,15310,5950,20840,554,21394
59,1963,29043305,57,17525,5510,22502,590,23092
60,1964,19610291,22,17865,5200,22586,501,23087
61,1965,20364807,151,16586,7183,23222,698,23920
62,1966,19744110,37,17794,6031,23258,604,23862
63,1967,22042961,208,20553,5978,25987,752,26739
64,1968,22626865,243,19890,6738,26117,754,26871
65,1969,438126621,189710,22493,7217,51880,167540,219420
66,1970,30124339,141,25120,7845,32075,1031,33106
67,1971,29141145,97,24151,7258,30596,910,31506
68,1972,23977025,130,22663,6362,28278,877,29155
69,1973,30451157,52,23867,7104,29956,1067,31023
70,1974,28422355,205,23384,7548,30289,848,31137
71,1975,27821258,336,25255,7254,31794,1051,32845
72,1976,29980155,197,26604,7599,33293,1107,34400
73,1977,35944550,338,27246,7534,33755,1363,35118
74,1978,30182631,235,28098,8450,35311,1472,36783
75,1979,36855303,269,31687,8444,38962,1438,40400
76,1980,44268161,406,33532,9597,42001,1534,43535
77,1981,43947230,369,36689,10940,46243,1755,47998
78,1982,62214112,409,38213,11700,48446,1876,50322
79,1983,60360070,409,38893,13755,50687,2370,53057
80,1984,49433082,311,42517,13510,53793,2545,56338
81,1985,59268934,454,45688,16682,60346,2478,62824
82,1986,58513199,467,46840,16937,60898,3346,64244
83,1987,62470702,611,46485,18775,62548,3323,65871
84,1988,120267084,305,50333,20140,65855,4923,70778
85,1989,65643310,368,48469,19727,65142,3422,68564
86,1990,67104934,684,48087,20213,65321,3663,68984
87,1991,71750601,210,47155,19220,62966,3619,66585
88,1992,57932548,287,42352,19340,58248,3731,61979
89,1993,51304817,199,37667,16411,50563,3714,54277
90,1994,40318269,114,27654,12547,36784,3531,40315
91,1995,33950165,93,18083,8505,23675,3006,26681
92,1996,16999300,254,9723,4797,12375,2399,14774
93,1997,12007693,43,7938,3057,9243,1795,11038
94,1998,10701800,189,6819,2312,7808,1512,9320
95,1999,6847537,32,4787,1957,5515,1261,6776
96,2000,3796403,11,2956,618,3012,573,3585
97,2001,5711255,30,1110,328,1296,172,1468
98,2002,357602,0,375,20,277,118,395
