,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,21708,28,0,0,28,0,28
1,1886,34623,0,37,1,37,1,38
2,1887,65524,71,7,8,86,0,86
3,1888,34946,11,37,0,48,0,48
4,1889,7622,0,0,7,7,0,7
5,1890,8983,0,0,14,14,0,14
6,1893,5532,0,0,4,4,0,4
7,1894,36096,0,56,0,56,0,56
8,1895,29854,0,18,30,48,0,48
9,1897,501,1,0,0,0,1,1
10,1899,25549,0,26,0,26,0,26
11,1900,435100,31,746,0,765,12,777
12,1901,90473,0,49,17,66,0,66
13,1907,663,0,1,0,1,0,1
14,1910,27292,0,34,0,34,0,34
15,1911,15092,11,0,0,0,11,11
16,1912,56090,26,55,0,81,0,81
17,1913,2139,0,2,0,2,0,2
18,1916,13430,0,0,6,6,0,6
19,1917,15807,0,18,0,18,0,18
20,1918,12787,0,22,0,22,0,22
21,1919,15074,0,0,9,9,0,9
22,1921,2054,0,8,0,8,0,8
23,1923,65380,0,88,0,88,0,88
24,1924,29859,0,32,0,32,0,32
25,1926,5755,0,8,1,9,0,9
26,1929,3234,0,8,0,0,8,8
27,1930,1379,0,0,1,0,1,1
28,1931,9960,9,3,0,12,0,12
29,1932,69628,0,49,65,114,0,114
30,1933,42599,0,3,54,57,0,57
31,1934,50033,1,11,55,66,1,67
32,1935,369626,8,27,77,112,0,112
33,1936,69205,0,122,2,124,0,124
34,1937,161496,0,78,86,164,0,164
35,1938,146176,0,154,27,180,1,181
36,1939,175687,27,114,27,164,4,168
37,1940,438562,0,703,78,777,4,781
38,1941,597753,0,630,115,736,9,745
39,1942,632796,0,665,175,840,0,840
40,1943,538176,0,499,121,607,13,620
41,1944,886641,22,783,237,1027,15,1042
42,1945,763825,0,928,118,1033,13,1046
43,1946,1523782,18,1470,403,1882,9,1891
44,1947,2265162,0,2358,460,2772,46,2818
45,1948,2474426,2,2509,429,2911,29,2940
46,1949,2538182,34,2264,576,2841,33,2874
47,1950,3334546,59,2708,988,3704,51,3755
48,1951,4400981,30,3924,724,4616,62,4678
49,1952,5077930,1,4062,1225,5184,104,5288
50,1953,6063366,2,5920,1525,7362,85,7447
51,1954,7973612,57,6398,2598,8938,115,9053
52,1955,7857750,0,7258,1848,8971,135,9106
53,1956,11585718,19,9381,2632,11873,159,12032
54,1957,12868829,58,10556,3796,14122,288,14410
55,1958,12963235,116,10611,4122,14578,271,14849
56,1959,13562481,57,12733,3970,16418,342,16760
57,1960,17131933,187,14277,4853,18939,378,19317
58,1961,17314300,36,14147,4802,18603,382,18985
59,1962,21594291,88,15376,6525,21496,493,21989
60,1963,19136842,52,17414,5640,22581,525,23106
61,1964,19674931,10,18496,5529,23378,657,24035
62,1965,20004926,207,17607,7217,24439,592,25031
63,1966,22067776,68,18896,6361,24410,915,25325
64,1967,21401997,182,21204,6546,27298,634,27932
65,1968,27128397,336,20949,7259,27460,1084,28544
66,1969,489360662,190969,23232,7745,54025,167921,221946
67,1970,28526415,98,25863,8001,32905,1057,33962
68,1971,27508086,92,24694,7537,31164,1159,32323
69,1972,27598954,153,23283,7128,29538,1026,30564
70,1973,32272130,24,24193,7474,30258,1433,31691
71,1974,28558810,240,24207,7612,30857,1202,32059
72,1975,40755405,422,25600,7939,32820,1141,33961
73,1976,32550786,218,26941,8331,34246,1244,35490
74,1977,53721369,315,28446,8706,35874,1593,37467
75,1978,44551870,198,29665,9033,37415,1481,38896
76,1979,44095627,311,32929,9468,41152,1556,42708
77,1980,50291485,420,35207,10358,44087,1898,45985
78,1981,54020896,422,37708,12053,48087,2096,50183
79,1982,57664096,389,41413,14160,53792,2170,55962
80,1983,67162524,464,41389,14718,53696,2875,56571
81,1984,66128943,369,46650,15169,59367,2821,62188
82,1985,68058777,347,49779,19178,65992,3312,69304
83,1986,66598382,425,49772,19390,66144,3443,69587
84,1987,79801761,616,50599,23035,70260,3990,74250
85,1988,188928991,451,56099,22957,73274,6233,79507
86,1989,74821703,358,53931,22350,72388,4251,76639
87,1990,82004318,796,52594,22889,71780,4499,76279
88,1991,75497726,175,49817,22136,67890,4238,72128
89,1992,64557999,320,47068,20882,63722,4548,68270
90,1993,63543056,150,42733,18745,57318,4310,61628
91,1994,49102456,211,32204,14519,42641,4293,46934
92,1995,37557139,173,20430,10111,27044,3670,30714
93,1996,21012408,291,10436,5316,12850,3193,16043
94,1997,20826905,64,9694,4304,11142,2920,14062
95,1998,18025530,115,6989,2649,7986,1767,9753
96,1999,11525530,12,5681,2578,6785,1486,8271
97,2000,6510977,80,3609,1175,3570,1294,4864
98,2001,5497147,94,2037,429,2117,443,2560
99,2002,1232940,4,477,106,318,269,587
