,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,2801,4,0,0,4,0,4
1,1886,29062,0,11,23,34,0,34
2,1887,23187,23,0,0,23,0,23
3,1888,27177,4,42,0,46,0,46
4,1889,1632,0,0,2,2,0,2
5,1890,37445,0,0,48,48,0,48
6,1894,561,0,0,1,1,0,1
7,1895,8000,0,18,0,18,0,18
8,1896,21076,0,50,0,50,0,50
9,1897,2149,2,0,0,2,0,2
10,1899,24092,0,19,0,19,0,19
11,1900,72715,26,127,0,151,2,153
12,1901,50878,3,43,0,46,0,46
13,1907,3743,0,4,0,4,0,4
14,1909,8857,7,0,0,7,0,7
15,1910,4176,0,17,0,17,0,17
16,1912,6071,4,2,0,6,0,6
17,1916,4667,0,0,15,15,0,15
18,1917,6464,0,8,0,8,0,8
19,1918,922,0,2,0,2,0,2
20,1919,3539,1,0,1,2,0,2
21,1921,5510,0,18,2,20,0,20
22,1924,45381,0,67,0,67,0,67
23,1928,2735,0,7,0,7,0,7
24,1930,20146,0,6,12,18,0,18
25,1931,475,0,1,0,1,0,1
26,1932,9946,0,5,16,21,0,21
27,1933,8941,0,0,15,15,0,15
28,1934,18039,0,16,16,32,0,32
29,1935,132802,10,19,42,71,0,71
30,1936,47747,0,169,9,178,0,178
31,1937,227114,0,66,182,248,0,248
32,1938,94720,0,140,27,167,0,167
33,1939,70472,9,52,2,63,0,63
34,1940,120084,0,179,31,210,0,210
35,1941,427356,0,271,156,424,3,427
36,1942,633812,0,636,69,705,0,705
37,1943,408558,0,313,234,547,0,547
38,1944,365314,1,325,133,459,0,459
39,1945,302105,0,505,71,575,1,576
40,1946,965030,0,936,213,1148,1,1149
41,1947,1588543,0,1150,340,1490,0,1490
42,1948,1120556,0,1218,241,1457,2,1459
43,1949,1067563,11,1218,233,1453,9,1462
44,1950,1633246,27,1679,550,2226,30,2256
45,1951,2439694,7,2459,367,2829,4,2833
46,1952,1979712,0,2327,548,2874,1,2875
47,1953,3041388,4,3898,677,4553,26,4579
48,1954,3665332,16,3866,1194,5068,8,5076
49,1955,3946574,11,4185,1006,5182,20,5202
50,1956,5456864,18,5534,1463,6992,23,7015
51,1957,5690914,51,5455,1865,7330,41,7371
52,1958,6220752,0,6495,2143,8604,34,8638
53,1959,6889076,21,7024,2040,9051,34,9085
54,1960,7995823,145,8517,2434,11021,75,11096
55,1961,7873246,59,8418,2468,10882,63,10945
56,1962,9203280,133,9419,3140,12629,63,12692
57,1963,10553479,32,10428,2876,13205,131,13336
58,1964,10749228,32,11437,2722,14068,123,14191
59,1965,10509083,80,10350,3641,13893,178,14071
60,1966,9972894,117,10973,3526,14414,202,14616
61,1967,10153419,36,11850,3156,14912,130,15042
62,1968,12443509,164,11714,3920,15610,188,15798
63,1969,76016036,30146,12891,3771,27191,19617,46808
64,1970,13479465,94,14206,4150,18288,162,18450
65,1971,11705499,77,13844,3105,16809,217,17026
66,1972,13387903,149,14170,3849,18003,165,18168
67,1973,11473540,70,13280,3317,16336,331,16667
68,1974,11966158,44,13052,3980,16883,193,17076
69,1975,17039594,202,14143,3518,17656,207,17863
70,1976,13751444,168,14710,3944,18440,382,18822
71,1977,14096043,141,14772,3586,18210,289,18499
72,1978,15676558,103,15814,3490,18899,508,19407
73,1979,16216077,138,18411,3702,21806,445,22251
74,1980,17986675,330,19626,4143,23737,362,24099
75,1981,18457384,164,19805,5081,24560,490,25050
76,1982,18673508,302,19976,5569,25314,533,25847
77,1983,20177238,387,21875,6035,27430,867,28297
78,1984,22096776,315,23844,6864,30259,764,31023
79,1985,24270336,244,24350,7167,31078,683,31761
80,1986,22429454,225,24277,6842,30515,829,31344
81,1987,25724847,312,25035,8674,32621,1400,34021
82,1988,27569195,329,28227,8358,35193,1721,36914
83,1989,29483395,377,27774,9142,36034,1259,37293
84,1990,32533922,362,28278,8911,36072,1479,37551
85,1991,27191724,129,27868,8285,34973,1309,36282
86,1992,24588781,206,25446,8067,32072,1647,33719
87,1993,24491952,160,24189,8015,31060,1304,32364
88,1994,20166260,104,17732,6127,22489,1474,23963
89,1995,18468761,152,14351,4856,17977,1382,19359
90,1996,8937322,141,7654,3107,9828,1074,10902
91,1997,7115992,36,6592,2247,7548,1327,8875
92,1998,5612627,5,5279,1480,6003,761,6764
93,1999,5596385,30,4102,1182,4507,807,5314
94,2000,2747764,61,2343,631,2462,573,3035
95,2001,1251666,0,1370,252,1419,203,1622
96,2002,658856,7,478,194,495,184,679
97,2003,21182,0,12,1,2,11,13
