,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,10888,23,0,0,23,0,23
1,1900,659,0,2,0,0,2,2
2,1939,7913,0,2,0,2,0,2
3,1942,4624,0,4,0,4,0,4
4,1943,732,0,1,0,1,0,1
5,1944,2217,0,9,0,9,0,9
6,1947,86645,0,7,0,5,2,7
7,1948,271,0,0,1,1,0,1
8,1949,25208,0,51,0,51,0,51
9,1950,9430,0,11,0,11,0,11
10,1951,6864,0,29,0,29,0,29
11,1952,22135,0,66,7,73,0,73
12,1953,60566,0,24,61,73,12,85
13,1954,69498,0,126,29,154,1,155
14,1955,103589,0,44,14,57,1,58
15,1956,122013,0,269,16,284,1,285
16,1957,37858,0,65,14,77,2,79
17,1958,143544,0,276,39,315,0,315
18,1959,80457,0,94,37,126,5,131
19,1960,143558,0,320,9,324,5,329
20,1961,70086,0,99,39,135,3,138
21,1962,190404,0,331,61,390,2,392
22,1963,163630,0,233,97,323,7,330
23,1964,211282,3,348,70,412,9,421
24,1965,225909,0,191,60,234,17,251
25,1966,116309,0,203,34,236,1,237
26,1967,190965,0,239,86,313,12,325
27,1968,226575,0,342,98,437,3,440
28,1969,6731670,2458,375,53,1139,1747,2886
29,1970,322253,0,510,111,606,15,621
30,1971,346346,0,339,239,564,14,578
31,1972,310999,0,440,91,517,14,531
32,1973,276048,0,477,114,575,16,591
33,1974,243088,0,447,84,508,23,531
34,1975,341009,0,495,170,650,15,665
35,1976,412497,53,560,181,785,9,794
36,1977,502090,0,731,237,948,20,968
37,1978,448142,45,691,103,821,18,839
38,1979,438275,26,652,163,812,29,841
39,1980,1410786,24,914,322,1202,58,1260
40,1981,653999,35,1187,279,1451,50,1501
41,1982,753175,1,851,399,1200,51,1251
42,1983,822690,0,1256,284,1475,65,1540
43,1984,943300,3,1180,415,1500,98,1598
44,1985,1207322,3,1323,377,1614,89,1703
45,1986,859651,0,1499,326,1760,65,1825
46,1987,1185255,1,1449,458,1847,61,1908
47,1988,1938216,31,1948,499,2325,153,2478
48,1989,1117404,0,1594,520,1994,120,2114
49,1990,988204,18,1264,458,1628,112,1740
50,1991,1163554,1,1263,499,1635,128,1763
51,1992,786037,8,899,386,1177,116,1293
52,1993,611856,6,823,247,953,123,1076
53,1994,525682,0,725,289,971,43,1014
54,1995,454022,35,276,141,380,72,452
55,1996,324073,0,74,198,229,43,272
56,1997,58457,0,23,22,23,22,45
57,1998,39538,0,52,12,49,15,64
58,1999,53743,0,31,7,14,24,38
59,2000,306037,0,52,2,46,8,54
60,2001,50670,0,2,0,1,1,2
61,2002,9058,0,2,0,0,2,2
