,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,7400,19,0,0,19,0,19
1,1941,6086,0,0,15,15,0,15
2,1942,2705,0,3,0,3,0,3
3,1944,2383,0,7,0,7,0,7
4,1946,4553,0,3,0,3,0,3
5,1947,16396,0,6,3,4,5,9
6,1949,18930,0,48,0,48,0,48
7,1950,26280,0,34,0,34,0,34
8,1951,8393,0,42,2,44,0,44
9,1952,17829,0,49,15,64,0,64
10,1953,68822,0,11,55,66,0,66
11,1954,106222,0,120,40,156,4,160
12,1955,12453,0,21,14,35,0,35
13,1956,149241,0,292,25,317,0,317
14,1957,38198,0,82,18,100,0,100
15,1958,154261,0,325,31,352,4,356
16,1959,89005,0,107,47,154,0,154
17,1960,150927,0,336,12,347,1,348
18,1961,74341,0,111,51,161,1,162
19,1962,218083,0,399,71,459,11,470
20,1963,271422,0,270,94,361,3,364
21,1964,190638,0,291,55,345,1,346
22,1965,145026,0,189,63,249,3,252
23,1966,128901,0,282,25,306,1,307
24,1967,198608,0,239,101,338,2,340
25,1968,197608,0,402,121,516,7,523
26,1969,3036955,1300,374,60,1036,698,1734
27,1970,276182,0,576,94,669,1,670
28,1971,420634,1,349,319,667,2,669
29,1972,407447,0,484,98,563,19,582
30,1973,224544,0,521,126,639,8,647
31,1974,215805,3,399,85,458,29,487
32,1975,302367,0,523,185,703,5,708
33,1976,322936,40,581,174,791,4,795
34,1977,608321,0,800,282,1068,14,1082
35,1978,348108,30,647,101,765,13,778
36,1979,460412,22,702,149,862,11,873
37,1980,635884,42,1124,253,1394,25,1419
38,1981,598891,51,1321,289,1627,34,1661
39,1982,560228,0,785,413,1173,25,1198
40,1983,797264,1,1355,307,1602,61,1663
41,1984,799234,12,1201,414,1587,40,1627
42,1985,801232,4,1307,374,1612,73,1685
43,1986,942877,2,1723,385,2018,92,2110
44,1987,1043855,1,1438,415,1808,46,1854
45,1988,1414594,22,1960,466,2372,76,2448
46,1989,952050,0,1512,592,2010,94,2104
47,1990,1057797,5,1373,412,1695,95,1790
48,1991,863067,1,1264,524,1684,105,1789
49,1992,758565,10,847,348,1088,117,1205
50,1993,728694,1,799,205,916,89,1005
51,1994,518482,0,747,333,1034,46,1080
52,1995,336273,3,272,137,380,32,412
53,1996,561116,27,71,194,261,31,292
54,1997,175224,2,26,12,21,19,40
55,1998,83405,0,93,26,97,22,119
56,1999,87562,1,10,8,0,19,19
57,2000,269308,0,27,6,25,8,33
58,2001,165018,0,6,3,6,3,9
59,2002,9261,0,3,2,0,5,5
