,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,6233,10,0,0,10,0,10
1,1886,39285,0,37,10,47,0,47
2,1887,883037,37,1,0,38,0,38
3,1888,103716,2,95,3,100,0,100
4,1889,374803,0,15,6,21,0,21
5,1890,12318,0,0,17,17,0,17
6,1893,1637,0,0,1,1,0,1
7,1895,12193,0,22,0,22,0,22
8,1896,9290,0,0,7,7,0,7
9,1897,327,1,0,0,1,0,1
10,1899,21481,0,20,0,20,0,20
11,1900,195598,63,239,1,299,4,303
12,1901,97031,6,62,13,74,7,81
13,1907,16313,0,15,0,15,0,15
14,1909,78771,39,0,0,39,0,39
15,1910,14685,0,47,0,47,0,47
16,1912,81422,11,15,0,26,0,26
17,1915,2740,0,3,0,3,0,3
18,1916,4502,0,0,14,14,0,14
19,1917,4498,0,11,0,11,0,11
20,1918,3189,0,6,0,6,0,6
21,1919,13016,11,0,2,13,0,13
22,1921,9746,0,35,0,35,0,35
23,1922,4513,0,6,0,6,0,6
24,1923,89536,0,107,0,107,0,107
25,1924,21281,0,58,0,58,0,58
26,1926,2288,0,5,1,6,0,6
27,1929,4750,0,0,9,9,0,9
28,1930,88787,0,58,11,69,0,69
29,1931,12099,0,6,6,12,0,12
30,1932,43760,0,31,40,70,1,71
31,1933,57020,0,4,79,82,1,83
32,1934,34414,0,18,35,53,0,53
33,1935,394160,16,37,89,140,2,142
34,1936,77569,0,111,22,133,0,133
35,1937,349789,0,89,144,233,0,233
36,1938,122970,0,152,13,164,1,165
37,1939,116536,27,106,17,149,1,150
38,1940,243863,0,304,86,390,0,390
39,1941,587485,0,450,186,636,0,636
40,1942,729995,0,831,110,938,3,941
41,1943,833718,0,591,265,850,6,856
42,1944,721495,5,690,199,884,10,894
43,1945,750319,0,971,126,1082,15,1097
44,1946,1497072,2,1377,556,1904,31,1935
45,1947,2527804,0,1714,579,2259,34,2293
46,1948,2380111,4,2248,648,2871,29,2900
47,1949,2414750,38,2314,637,2945,44,2989
48,1950,2624478,25,2293,974,3229,63,3292
49,1951,3654574,18,3788,649,4352,103,4455
50,1952,3869989,2,3963,1127,5027,65,5092
51,1953,5859885,11,6104,1440,7422,133,7555
52,1954,6999975,38,6506,2315,8716,143,8859
53,1955,7660491,27,7185,1922,8989,145,9134
54,1956,9281191,32,9478,2552,11863,199,12062
55,1957,11839521,97,11033,3507,14419,218,14637
56,1958,11542239,41,10547,3532,13732,388,14120
57,1959,13496232,42,11874,4258,15858,316,16174
58,1960,15652407,216,14464,4552,18822,410,19232
59,1961,15907733,113,14815,4700,19116,512,19628
60,1962,19341187,116,15889,5739,21141,603,21744
61,1963,18091907,47,17340,5453,22176,664,22840
62,1964,19436314,5,19410,5306,23967,754,24721
63,1965,20064463,146,16698,6905,22840,909,23749
64,1966,19827397,56,18828,6332,24291,925,25216
65,1967,21589639,134,20931,6228,26566,727,27293
66,1968,23288409,243,20453,6816,26414,1098,27512
67,1969,232104728,112958,23054,7225,51143,92094,143237
68,1970,26918574,82,25217,7979,32228,1050,33278
69,1971,25733435,122,24167,6870,30151,1008,31159
70,1972,24226788,226,24479,6619,30269,1055,31324
71,1973,28211255,65,24663,6962,30400,1290,31690
72,1974,25278801,271,24396,7392,30976,1083,32059
73,1975,28105375,503,26060,8035,33290,1308,34598
74,1976,29253581,197,26987,8032,33995,1221,35216
75,1977,30010239,312,26730,8104,33634,1512,35146
76,1978,28439058,240,28120,7899,34540,1719,36259
77,1979,33004579,247,32268,8416,39282,1649,40931
78,1980,35031165,622,34307,9375,42487,1817,44304
79,1981,38708068,371,37204,10884,46215,2244,48459
80,1982,42063085,450,39075,12578,49895,2208,52103
81,1983,42921274,481,40750,13702,52194,2739,54933
82,1984,47610474,364,44280,14157,56094,2707,58801
83,1985,54634805,408,45084,15903,58429,2966,61395
84,1986,51825197,367,47992,15811,60515,3655,64170
85,1987,63882769,566,47686,19570,63474,4348,67822
86,1988,78885458,919,54881,21249,69905,7144,77049
87,1989,64481386,672,54940,20569,71374,4807,76181
88,1990,64414465,826,53364,22718,71630,5278,76908
89,1991,60368445,294,52896,20888,68730,5348,74078
90,1992,58977510,702,50685,20632,66681,5338,72019
91,1993,53286177,503,46945,19471,61501,5418,66919
92,1994,42716969,376,36959,15389,47512,5212,52724
93,1995,36656825,186,28083,12401,36004,4666,40670
94,1996,24737103,293,16173,8038,20930,3574,24504
95,1997,16864198,177,12842,5055,15549,2525,18074
96,1998,14373262,72,11474,3529,12904,2171,15075
97,1999,10458411,15,8740,2747,9406,2096,11502
98,2000,6832829,46,5732,1391,5492,1677,7169
99,2001,2521851,18,2494,584,2617,479,3096
100,2002,1411781,10,1003,372,954,431,1385
