,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,425,1,0,0,1,0,1
1,1940,1127,0,1,0,1,0,1
2,1941,1995,0,0,5,5,0,5
3,1944,1763,0,9,0,9,0,9
4,1947,1393,0,2,0,1,1,2
5,1949,327571,0,35,0,35,0,35
6,1950,10241,0,12,0,12,0,12
7,1951,6121,0,38,0,38,0,38
8,1952,15991,0,39,24,63,0,63
9,1953,55965,0,9,56,65,0,65
10,1954,37203,0,67,30,97,0,97
11,1955,13657,0,27,11,38,0,38
12,1956,79379,0,205,19,224,0,224
13,1957,39324,0,67,18,83,2,85
14,1958,103785,0,243,40,283,0,283
15,1959,38636,0,42,33,75,0,75
16,1960,87624,0,223,3,224,2,226
17,1961,48569,0,97,41,138,0,138
18,1962,120214,0,268,29,297,0,297
19,1963,121722,0,192,55,245,2,247
20,1964,89818,0,224,20,242,2,244
21,1965,86042,0,120,38,158,0,158
22,1966,67462,0,160,9,167,2,169
23,1967,70001,0,166,47,206,7,213
24,1968,89293,0,184,67,243,8,251
25,1969,2648341,767,212,51,682,348,1030
26,1970,140438,0,341,56,397,0,397
27,1971,282734,0,197,189,384,2,386
28,1972,136050,0,243,61,296,8,304
29,1973,169510,0,374,76,447,3,450
30,1974,133245,0,265,28,288,5,293
31,1975,185638,0,348,90,435,3,438
32,1976,204617,38,355,110,501,2,503
33,1977,252300,0,436,177,609,4,613
34,1978,277487,25,481,59,559,6,565
35,1979,229496,5,401,155,546,15,561
36,1980,393074,27,835,142,995,9,1004
37,1981,406755,51,781,153,968,17,985
38,1982,280807,0,474,227,686,15,701
39,1983,689945,0,780,170,931,19,950
40,1984,401163,7,704,246,944,13,957
41,1985,450870,3,817,243,1045,18,1063
42,1986,797484,0,1119,229,1314,34,1348
43,1987,529073,0,987,300,1269,18,1287
44,1988,769369,15,1306,291,1587,25,1612
45,1989,723332,0,995,372,1334,33,1367
46,1990,571040,0,913,249,1130,32,1162
47,1991,535544,0,843,338,1115,66,1181
48,1992,550043,0,560,267,802,25,827
49,1993,265905,0,549,105,621,33,654
50,1994,287772,0,460,176,607,29,636
51,1995,196046,0,222,120,318,24,342
52,1996,189252,0,35,128,134,29,163
53,1997,15114,0,14,14,16,12,28
54,1998,50611,0,63,15,68,10,78
55,1999,154544,0,4,1,0,5,5
56,2000,16443,0,38,0,34,4,38
57,2001,6571,0,6,0,0,6,6
