,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1941,1301,0,0,3,3,0,3
1,1943,408,0,0,1,0,1,1
2,1944,919,0,3,0,3,0,3
3,1947,1555,0,2,0,2,0,2
4,1948,810,0,1,0,1,0,1
5,1949,21665,0,49,0,49,0,49
6,1950,3422,0,5,0,5,0,5
7,1951,6900,0,31,0,31,0,31
8,1952,11402,0,31,14,45,0,45
9,1953,51568,0,11,50,61,0,61
10,1954,130940,0,45,39,84,0,84
11,1955,9114,0,22,6,28,0,28
12,1956,77821,0,141,8,149,0,149
13,1957,38774,0,67,12,79,0,79
14,1958,91161,0,172,31,203,0,203
15,1959,41059,0,58,18,76,0,76
16,1960,79034,0,197,2,199,0,199
17,1961,49126,0,96,37,133,0,133
18,1962,99502,0,222,29,251,0,251
19,1963,74453,0,125,24,149,0,149
20,1964,122962,0,128,27,152,3,155
21,1965,48029,0,81,12,89,4,93
22,1966,48779,0,123,3,126,0,126
23,1967,50914,0,109,41,145,5,150
24,1968,282143,0,158,77,235,0,235
25,1969,1320373,548,174,36,515,243,758
26,1970,120517,0,313,50,363,0,363
27,1971,178100,0,173,125,298,0,298
28,1972,97637,0,174,52,226,0,226
29,1973,131032,0,281,69,343,7,350
30,1974,83251,0,183,26,205,4,209
31,1975,135478,0,293,36,329,0,329
32,1976,254892,41,320,156,512,5,517
33,1977,254178,0,444,124,567,1,568
34,1978,174426,17,382,33,431,1,432
35,1979,173851,0,334,134,461,7,468
36,1980,337886,34,672,126,830,2,832
37,1981,699246,51,510,158,697,22,719
38,1982,217741,2,407,177,584,2,586
39,1983,836358,0,597,208,799,6,805
40,1984,311811,8,568,162,729,9,738
41,1985,337094,2,642,216,853,7,860
42,1986,349565,0,882,122,979,25,1004
43,1987,406328,0,878,224,1099,3,1102
44,1988,726632,2,1192,234,1406,22,1428
45,1989,360588,0,698,269,952,15,967
46,1990,708193,5,796,190,964,27,991
47,1991,393340,0,599,274,839,34,873
48,1992,277096,1,466,191,629,29,658
49,1993,342583,4,476,77,535,22,557
50,1994,379893,4,470,193,643,24,667
51,1995,241029,0,215,91,294,12,306
52,1996,70343,0,33,124,139,18,157
53,1997,11581,0,14,5,12,7,19
54,1998,46189,0,68,8,58,18,76
55,1999,4242,0,5,0,0,5,5
56,2000,8076,0,25,0,25,0,25
57,2002,1841,0,0,1,0,1,1
