,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1857,7612,0,6,0,0,6,6
1,1885,3574,5,0,0,5,0,5
2,1886,31065,0,21,0,21,0,21
3,1887,46055,47,0,0,47,0,47
4,1888,46961,13,52,1,66,0,66
5,1889,1356,2,0,2,4,0,4
6,1890,48693,0,0,79,79,0,79
7,1894,1273,0,0,4,4,0,4
8,1895,9289,0,17,0,17,0,17
9,1896,21989,0,52,0,52,0,52
10,1897,9322,10,0,0,10,0,10
11,1899,22040,0,18,0,18,0,18
12,1900,154912,66,253,1,316,4,320
13,1901,60881,12,42,4,58,0,58
14,1906,1611,0,1,0,0,1,1
15,1907,7049,0,9,0,9,0,9
16,1909,15885,7,0,0,7,0,7
17,1910,7818,0,22,0,22,0,22
18,1911,5354,0,0,4,0,4,4
19,1912,17874,14,1,0,15,0,15
20,1916,4236,0,0,13,13,0,13
21,1917,21632,0,33,0,33,0,33
22,1918,3593,0,7,0,7,0,7
23,1919,23158,0,0,14,14,0,14
24,1920,2248,0,0,3,3,0,3
25,1921,7434,0,24,2,26,0,26
26,1923,1841,0,6,0,6,0,6
27,1924,25832,0,32,0,32,0,32
28,1927,5651,0,4,0,0,4,4
29,1928,11357,0,19,0,19,0,19
30,1929,702,0,0,1,1,0,1
31,1930,53422,0,41,17,58,0,58
32,1931,7873,0,2,0,2,0,2
33,1932,19344,0,10,30,40,0,40
34,1933,13183,0,0,34,34,0,34
35,1934,24480,0,12,30,42,0,42
36,1935,98372,9,24,41,74,0,74
37,1936,49784,0,159,18,177,0,177
38,1937,364224,0,54,290,338,6,344
39,1938,129633,0,155,48,203,0,203
40,1939,114812,25,95,0,120,0,120
41,1940,153978,0,244,32,276,0,276
42,1941,458806,0,423,171,594,0,594
43,1942,587120,0,728,85,799,14,813
44,1943,650842,0,460,316,775,1,776
45,1944,484694,2,466,173,641,0,641
46,1945,467764,0,686,102,787,1,788
47,1946,1198196,0,1192,304,1482,14,1496
48,1947,1593547,0,1529,333,1857,5,1862
49,1948,1466932,0,1811,369,2170,10,2180
50,1949,1422779,9,1557,322,1871,17,1888
51,1950,2131565,25,2190,680,2883,12,2895
52,1951,3070483,11,3242,508,3736,25,3761
53,1952,3369271,0,2997,797,3757,37,3794
54,1953,5054561,1,5768,911,6675,5,6680
55,1954,5954884,36,5240,1768,7003,41,7044
56,1955,5580507,9,5663,1312,6917,67,6984
57,1956,7187981,7,7464,2006,9409,68,9477
58,1957,7869987,92,7290,2629,9880,131,10011
59,1958,8305904,7,8641,2599,11114,133,11247
60,1959,9534621,48,9221,2926,12010,185,12195
61,1960,10874811,181,11168,3316,14520,145,14665
62,1961,10683708,83,10954,3437,14308,166,14474
63,1962,12358130,156,12290,4628,16874,200,17074
64,1963,12381352,22,13678,3751,17128,323,17451
65,1964,14074443,0,15359,4094,19111,342,19453
66,1965,14105557,143,14066,4894,18737,366,19103
67,1966,17961309,90,14885,4810,19324,461,19785
68,1967,15187986,55,15888,4881,20400,424,20824
69,1968,16153480,228,16100,5192,20946,574,21520
70,1969,155207176,62135,17007,5322,36140,48324,84464
71,1970,20407451,112,18480,5862,23800,654,24454
72,1971,16799015,140,18470,4647,22763,494,23257
73,1972,22036692,154,18440,4931,23024,501,23525
74,1973,17063609,90,17336,5083,21988,521,22509
75,1974,17061700,130,17892,5516,23090,448,23538
76,1975,19981687,305,19093,5122,23937,583,24520
77,1976,19452098,146,19793,5261,24558,642,25200
78,1977,21126969,271,20148,4807,24478,748,25226
79,1978,19449828,133,20896,4916,25183,762,25945
80,1979,23552656,171,24574,5519,29399,865,30264
81,1980,25834256,521,25212,5962,30893,802,31695
82,1981,26258527,202,26897,7190,33204,1085,34289
83,1982,29213432,416,26663,8178,34131,1126,35257
84,1983,27719653,531,29095,7986,36230,1382,37612
85,1984,33238335,292,32351,9177,40350,1470,41820
86,1985,34469210,218,33051,10655,42293,1631,43924
87,1986,39103256,355,34212,9828,42523,1872,44395
88,1987,41084748,441,34862,12810,45433,2680,48113
89,1988,42867811,550,38866,12513,48998,2931,51929
90,1989,45442061,490,39376,13475,49998,3343,53341
91,1990,43147255,543,39184,13212,50143,2796,52939
92,1991,41129346,228,38958,12513,48640,3059,51699
93,1992,42867142,372,35624,12851,45717,3130,48847
94,1993,36636969,208,33777,11733,42607,3111,45718
95,1994,30839719,401,26160,9197,32645,3113,35758
96,1995,26092506,175,21378,7457,25560,3450,29010
97,1996,18426589,231,11608,5133,14195,2777,16972
98,1997,11686099,40,9318,3100,10426,2032,12458
99,1998,10743388,45,7205,1991,7459,1782,9241
100,1999,10825462,57,6707,1814,6414,2164,8578
101,2000,6483381,34,4290,1134,3867,1591,5458
102,2001,2471967,9,2374,624,2531,476,3007
103,2002,1389063,15,872,261,668,480,1148
104,2003,196396,1,63,18,41,41,82
