,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,1151,3,0,0,1,2,3
1,1940,1098,0,2,0,2,0,2
2,1941,8631,0,4,20,24,0,24
3,1942,521,0,1,0,1,0,1
4,1944,3609,0,13,0,13,0,13
5,1945,5723,0,4,0,0,4,4
6,1947,4894,0,3,3,3,3,6
7,1948,132,0,1,0,1,0,1
8,1949,23383,0,56,0,56,0,56
9,1950,23642,0,32,0,32,0,32
10,1951,24937,0,29,6,35,0,35
11,1952,43774,0,107,20,127,0,127
12,1953,63238,0,13,76,89,0,89
13,1954,73132,0,101,58,159,0,159
14,1955,14301,0,32,10,42,0,42
15,1956,224513,0,395,33,428,0,428
16,1957,35102,0,91,9,100,0,100
17,1958,168482,0,346,24,369,1,370
18,1959,341260,0,99,96,195,0,195
19,1960,183411,0,309,19,314,14,328
20,1961,208860,0,150,60,209,1,210
21,1962,330987,0,396,133,518,11,529
22,1963,282821,0,288,105,390,3,393
23,1964,607526,0,378,113,484,7,491
24,1965,295238,0,225,52,273,4,277
25,1966,172023,0,261,40,301,0,301
26,1967,155537,0,233,104,325,12,337
27,1968,657270,0,425,135,551,9,560
28,1969,8182697,2886,363,42,1242,2049,3291
29,1970,561987,0,642,120,741,21,762
30,1971,430912,0,415,206,602,19,621
31,1972,295728,0,512,81,585,8,593
32,1973,233956,0,408,180,553,35,588
33,1974,235315,1,357,128,473,13,486
34,1975,332137,0,538,235,759,14,773
35,1976,415412,33,570,219,809,13,822
36,1977,556661,18,822,249,1077,12,1089
37,1978,636525,33,853,145,1022,9,1031
38,1979,521110,4,660,173,793,44,837
39,1980,698511,7,1067,312,1361,25,1386
40,1981,929809,49,1119,398,1539,27,1566
41,1982,807080,0,1036,329,1345,20,1365
42,1983,845121,1,1243,330,1550,24,1574
43,1984,1003039,31,1287,427,1680,65,1745
44,1985,1099255,0,1378,388,1726,40,1766
45,1986,1552598,0,1788,402,2121,69,2190
46,1987,1113689,0,1312,551,1827,36,1863
47,1988,1305122,17,1899,498,2359,55,2414
48,1989,938366,0,1390,489,1810,69,1879
49,1990,987453,0,1452,333,1716,69,1785
50,1991,1120627,0,1142,325,1386,81,1467
51,1992,892041,3,993,479,1362,113,1475
52,1993,554610,16,607,285,848,60,908
53,1994,519014,0,643,208,807,44,851
54,1995,321349,2,203,199,381,23,404
55,1996,175973,0,30,160,177,13,190
56,1997,35987,0,34,6,23,17,40
57,1998,45284,1,17,14,27,5,32
58,1999,32786,0,7,16,7,16,23
59,2000,17500,0,4,2,0,6,6
60,2002,6043,0,2,0,0,2,2
