,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,7083,8,0,0,8,0,8
1,1886,1517,0,2,0,2,0,2
2,1887,29799,30,0,0,30,0,30
3,1888,65778,5,68,0,73,0,73
4,1889,2988,0,0,5,5,0,5
5,1890,20135,0,0,32,32,0,32
6,1895,7292,0,9,0,9,0,9
7,1896,34008,0,39,0,39,0,39
8,1899,7173,0,7,0,7,0,7
9,1900,170600,22,491,0,513,0,513
10,1901,38240,1,35,0,36,0,36
11,1907,10556,0,9,0,9,0,9
12,1909,31763,20,0,0,20,0,20
13,1910,5312,0,24,0,24,0,24
14,1912,15627,15,3,0,18,0,18
15,1916,1329,0,0,4,4,0,4
16,1917,3517,0,9,0,9,0,9
17,1918,3871,0,7,0,7,0,7
18,1919,1631,0,0,1,1,0,1
19,1920,4758,0,0,2,2,0,2
20,1921,5302,0,18,3,21,0,21
21,1923,4789,0,9,0,9,0,9
22,1924,19846,0,40,0,40,0,40
23,1930,46297,0,19,40,59,0,59
24,1931,4907,0,2,5,7,0,7
25,1932,10294,0,1,20,21,0,21
26,1933,13108,0,0,19,19,0,19
27,1934,38916,0,12,43,55,0,55
28,1935,90063,1,17,33,51,0,51
29,1936,77807,0,115,39,154,0,154
30,1937,202317,0,54,188,242,0,242
31,1938,72584,0,109,24,133,0,133
32,1939,229917,17,80,15,112,0,112
33,1940,228330,6,200,50,250,6,256
34,1941,414281,0,318,112,430,0,430
35,1942,575830,0,601,66,667,0,667
36,1943,447535,0,333,184,516,1,517
37,1944,367652,4,367,117,488,0,488
38,1945,1301748,0,558,83,636,5,641
39,1946,1026415,0,964,294,1257,1,1258
40,1947,1234660,0,1088,434,1522,0,1522
41,1948,1284144,0,1483,326,1804,5,1809
42,1949,1384934,26,1439,340,1802,3,1805
43,1950,1768626,20,1762,646,2403,25,2428
44,1951,2484401,7,2704,483,3167,27,3194
45,1952,2845620,1,2709,613,3312,11,3323
46,1953,3832053,3,4671,807,5457,24,5481
47,1954,5145108,55,4400,1504,5939,20,5959
48,1955,4604374,23,4860,1204,6029,58,6087
49,1956,5869562,4,6312,1642,7907,51,7958
50,1957,6881775,32,6078,2300,8347,63,8410
51,1958,7246354,44,7146,2203,9296,97,9393
52,1959,9835243,8,7944,2575,10435,92,10527
53,1960,10168771,115,9713,2986,12688,126,12814
54,1961,8650469,46,9164,2851,11955,106,12061
55,1962,10913024,129,10163,3764,13934,122,14056
56,1963,11477337,28,11671,3391,14864,226,15090
57,1964,11993022,7,12870,3217,15908,186,16094
58,1965,12131790,108,11727,4207,15812,230,16042
59,1966,12801178,12,12318,3867,15947,250,16197
60,1967,11398825,88,13120,3516,16592,132,16724
61,1968,12882554,171,12856,3870,16637,260,16897
62,1969,94973654,39096,14499,4529,29823,28301,58124
63,1970,15318684,65,15262,4839,19848,318,20166
64,1971,13101343,46,14948,3692,18417,269,18686
65,1972,14150889,113,15126,3794,18730,303,19033
66,1973,14247736,48,14365,3863,17951,325,18276
67,1974,16191366,72,14374,4686,18701,431,19132
68,1975,18242178,249,14853,4377,19173,306,19479
69,1976,14840133,149,15062,4574,19426,359,19785
70,1977,14697393,221,15652,4120,19653,340,19993
71,1978,14886388,179,16306,3917,19823,579,20402
72,1979,16623931,146,18799,4096,22534,507,23041
73,1980,20712794,392,20089,4732,24674,539,25213
74,1981,19394485,228,20471,5507,25517,689,26206
75,1982,20059229,279,21060,6400,27236,503,27739
76,1983,22075182,207,23096,6629,28734,1198,29932
77,1984,23588536,256,24449,6857,30578,984,31562
78,1985,24190553,254,25750,7440,32461,983,33444
79,1986,23236831,248,25344,7454,31572,1474,33046
80,1987,25912436,385,25561,9240,33949,1237,35186
81,1988,33193622,332,30266,9506,37969,2135,40104
82,1989,28865354,302,28825,9415,37300,1242,38542
83,1990,30704847,521,29384,9995,38288,1612,39900
84,1991,30818237,152,28179,8330,34776,1885,36661
85,1992,26042321,364,26601,8526,33652,1839,35491
86,1993,24280967,223,24328,8113,30814,1850,32664
87,1994,19327485,166,18790,6124,23437,1643,25080
88,1995,16124389,200,14301,4982,17768,1715,19483
89,1996,11085258,126,8129,3632,10564,1323,11887
90,1997,8497267,56,6825,2092,7499,1474,8973
91,1998,6391444,13,5304,1435,5900,852,6752
92,1999,6331426,26,4638,1377,5300,741,6041
93,2000,3350784,25,3207,782,3406,608,4014
94,2001,2009057,3,1459,312,1554,220,1774
95,2002,711239,10,602,183,609,186,795
