,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1941,413,0,0,1,1,0,1
1,1947,1414,0,3,0,2,1,3
2,1949,21637,0,47,0,46,1,47
3,1950,9944,0,16,0,16,0,16
4,1951,9815,0,44,0,44,0,44
5,1952,15020,0,50,14,64,0,64
6,1953,64603,0,16,77,93,0,93
7,1954,35700,0,77,32,109,0,109
8,1955,11192,0,30,3,33,0,33
9,1956,70242,0,188,11,196,3,199
10,1957,38231,0,72,28,100,0,100
11,1958,99423,0,260,14,272,2,274
12,1959,49391,0,62,34,96,0,96
13,1960,97037,1,211,5,214,3,217
14,1961,72536,0,107,40,147,0,147
15,1962,127150,1,221,51,273,0,273
16,1963,85817,0,163,35,198,0,198
17,1964,111172,0,167,27,194,0,194
18,1965,85145,0,119,23,141,1,142
19,1966,44591,0,130,6,135,1,136
20,1967,58630,0,119,27,146,0,146
21,1968,107805,0,200,72,271,1,272
22,1969,2355166,831,213,25,584,485,1069
23,1970,167846,0,409,103,511,1,512
24,1971,153474,0,173,136,308,1,309
25,1972,105354,0,198,54,249,3,252
26,1973,133332,0,277,82,354,5,359
27,1974,322317,0,212,31,239,4,243
28,1975,205083,0,420,50,470,0,470
29,1976,249275,31,372,122,525,0,525
30,1977,289308,0,492,136,624,4,628
31,1978,243905,27,522,41,574,16,590
32,1979,192992,0,393,80,464,9,473
33,1980,420200,18,834,191,1037,6,1043
34,1981,348601,71,626,147,833,11,844
35,1982,365460,3,488,223,689,25,714
36,1983,304867,0,624,119,738,5,743
37,1984,399105,7,662,174,836,7,843
38,1985,468508,1,769,243,996,17,1013
39,1986,453121,0,969,197,1141,25,1166
40,1987,617594,1,1281,297,1537,42,1579
41,1988,621053,5,1030,319,1337,17,1354
42,1989,529685,0,869,281,1110,40,1150
43,1990,507296,46,879,244,1130,39,1169
44,1991,572936,0,803,200,933,70,1003
45,1992,508071,0,440,254,650,44,694
46,1993,330533,0,627,80,670,37,707
47,1994,298443,0,495,166,623,38,661
48,1995,171642,2,248,86,320,16,336
49,1996,73557,0,76,117,190,3,193
50,1997,17444,0,23,4,18,9,27
51,1998,87867,0,45,14,40,19,59
52,1999,140320,0,23,28,2,49,51
53,2000,12127,0,14,3,6,11,17
54,2002,9649,0,3,3,0,6,6
