,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,25755,26,0,0,26,0,26
1,1886,70126,0,63,25,88,0,88
2,1887,49360,75,3,3,81,0,81
3,1888,114987,3,124,0,127,0,127
4,1889,3078,0,0,6,6,0,6
5,1890,10966,0,0,14,14,0,14
6,1893,2698,0,0,5,5,0,5
7,1895,41244,0,28,25,53,0,53
8,1896,16477,0,0,10,10,0,10
9,1899,23753,0,21,0,21,0,21
10,1900,230182,64,280,0,329,15,344
11,1901,71406,2,42,13,55,2,57
12,1907,18252,0,17,0,17,0,17
13,1909,37859,19,0,0,19,0,19
14,1910,3806,0,13,0,13,0,13
15,1912,35272,21,8,0,29,0,29
16,1915,4636,0,7,0,7,0,7
17,1916,1088,0,0,3,3,0,3
18,1917,23358,0,24,0,24,0,24
19,1918,10265,0,18,0,18,0,18
20,1919,6603,4,0,0,4,0,4
21,1920,6209,0,4,0,0,4,4
22,1921,10226,0,20,3,22,1,23
23,1922,8710,0,7,0,7,0,7
24,1923,191760,0,105,75,179,1,180
25,1924,18020,1,56,0,56,1,57
26,1926,3658,0,7,0,7,0,7
27,1928,3466,0,1,0,1,0,1
28,1929,10962,0,6,12,12,6,18
29,1930,34036,0,17,40,53,4,57
30,1931,10860,0,7,7,14,0,14
31,1932,45750,0,23,53,76,0,76
32,1933,92762,0,7,102,107,2,109
33,1934,63255,0,14,69,83,0,83
34,1935,432300,13,33,115,161,0,161
35,1936,36419,0,98,3,100,1,101
36,1937,227322,0,109,136,245,0,245
37,1938,92615,0,138,5,143,0,143
38,1939,118084,28,107,18,153,0,153
39,1940,345833,1,424,51,475,1,476
40,1941,499877,0,419,222,640,1,641
41,1942,756041,0,861,136,991,6,997
42,1943,681579,0,477,256,723,10,733
43,1944,599424,5,674,178,855,2,857
44,1945,720760,0,906,106,996,16,1012
45,1946,1911737,12,1453,548,2000,13,2013
46,1947,1930073,0,2067,531,2542,56,2598
47,1948,2472308,6,1956,503,2415,50,2465
48,1949,2442568,26,2243,554,2779,44,2823
49,1950,2832540,19,2306,925,3144,106,3250
50,1951,3515556,4,3579,659,4135,107,4242
51,1952,4111426,2,3687,995,4620,64,4684
52,1953,5742600,5,5866,1409,7059,221,7280
53,1954,6425928,43,5866,2147,7872,184,8056
54,1955,6940234,15,6299,1931,8017,228,8245
55,1956,9038445,33,8499,2474,10788,218,11006
56,1957,10290609,82,8688,3129,11668,231,11899
57,1958,10574303,25,9823,3252,12695,405,13100
58,1959,12899307,47,10845,4219,14683,428,15111
59,1960,14604545,170,13149,4439,17232,526,17758
60,1961,14357521,87,13419,4332,17286,552,17838
61,1962,15976522,87,14239,5484,19265,545,19810
62,1963,19094764,42,16080,5399,20838,683,21521
63,1964,18539342,6,16857,5377,21260,980,22240
64,1965,17863836,146,15579,6705,21545,885,22430
65,1966,20004536,49,16871,6409,22549,780,23329
66,1967,20671389,89,19376,6114,24575,1004,25579
67,1968,22820236,227,18572,7041,24914,926,25840
68,1969,341092537,161688,20900,6994,49363,140219,189582
69,1970,25527207,78,23037,7787,29646,1256,30902
70,1971,24397311,88,21632,6970,27447,1243,28690
71,1972,23064556,216,21891,6271,27214,1164,28378
72,1973,24536254,47,22689,6856,28140,1452,29592
73,1974,24502425,208,22064,7351,28249,1374,29623
74,1975,27791898,437,23644,7784,30271,1594,31865
75,1976,27803197,234,24896,7703,31434,1399,32833
76,1977,28286872,207,24772,8256,31644,1591,33235
77,1978,28160814,257,26018,7963,32351,1887,34238
78,1979,31506622,333,30442,8411,37086,2100,39186
79,1980,34709447,555,32152,9759,40114,2352,42466
80,1981,40158236,422,35858,11505,45148,2637,47785
81,1982,42701313,466,37867,13171,48632,2872,51504
82,1983,44207956,410,38210,14008,49436,3192,52628
83,1984,48782627,450,44053,14867,55775,3595,59370
84,1985,55964500,438,45479,17353,59350,3920,63270
85,1986,56207180,580,47123,17349,60348,4704,65052
86,1987,59411917,565,47267,21284,63863,5253,69116
87,1988,84100044,849,56119,22986,71448,8506,79954
88,1989,70506985,512,53974,21735,69924,6297,76221
89,1990,67248678,801,52791,24286,71299,6579,77878
90,1991,65073804,282,51359,22877,67987,6531,74518
91,1992,62382653,340,49413,21736,65294,6195,71489
92,1993,57752755,424,45342,20258,59622,6402,66024
93,1994,47387860,341,35777,16672,46302,6488,52790
94,1995,37847676,176,27170,13157,34437,6066,40503
95,1996,25598840,307,16098,8309,20126,4588,24714
96,1997,22259490,129,13146,5364,15494,3145,18639
97,1998,14360014,74,11333,3559,12375,2591,14966
98,1999,12087504,19,8330,2524,8571,2302,10873
99,2000,6642608,27,4687,1234,4304,1644,5948
100,2001,2826384,39,2322,636,2524,473,2997
101,2002,1121198,4,622,191,584,233,817
