,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1886,9891,0,4,10,14,0,14
1,1887,1062,2,0,0,2,0,2
2,1888,44720,7,52,0,59,0,59
3,1889,2136,0,0,4,4,0,4
4,1890,28919,0,0,45,45,0,45
5,1895,11087,0,18,0,18,0,18
6,1896,30124,0,67,0,67,0,67
7,1897,1227,2,0,0,2,0,2
8,1899,19758,0,16,0,16,0,16
9,1900,122317,28,464,0,491,1,492
10,1901,49229,8,43,0,50,1,51
11,1907,2412,0,1,0,1,0,1
12,1909,37986,25,0,0,25,0,25
13,1910,4215,0,16,0,16,0,16
14,1912,589322,13,3,0,16,0,16
15,1916,3796,0,0,11,11,0,11
16,1918,1277,0,2,0,2,0,2
17,1919,4343,0,0,3,3,0,3
18,1920,3035,0,0,2,2,0,2
19,1921,8290,0,26,4,30,0,30
20,1923,1068,0,3,0,3,0,3
21,1924,16304,0,43,0,43,0,43
22,1927,1292,0,0,1,1,0,1
23,1928,2711,0,11,0,11,0,11
24,1929,417,0,0,1,1,0,1
25,1930,47323,0,12,29,40,1,41
26,1931,1572,0,0,3,3,0,3
27,1932,2096,0,0,10,10,0,10
28,1933,8450,0,0,17,17,0,17
29,1934,19728,0,14,21,35,0,35
30,1935,67928,5,12,22,39,0,39
31,1936,52930,0,94,20,114,0,114
32,1937,201883,0,51,163,214,0,214
33,1938,93954,0,115,35,150,0,150
34,1939,228453,20,65,4,89,0,89
35,1940,100158,0,148,52,200,0,200
36,1941,492563,0,365,113,478,0,478
37,1942,418805,0,572,66,633,5,638
38,1943,372814,0,326,220,546,0,546
39,1944,321758,5,330,126,461,0,461
40,1945,317772,0,494,78,566,6,572
41,1946,902313,0,1025,271,1296,0,1296
42,1947,1079471,0,1021,330,1350,1,1351
43,1948,1036784,0,1227,305,1526,6,1532
44,1949,1103091,27,1252,222,1501,0,1501
45,1950,1505035,15,1645,490,2143,7,2150
46,1951,2231025,7,2573,319,2894,5,2899
47,1952,1851791,1,2416,483,2900,0,2900
48,1953,3717236,1,4720,627,5344,4,5348
49,1954,4017623,61,4053,1356,5458,12,5470
50,1955,4831101,18,4597,1023,5613,25,5638
51,1956,5660085,4,6142,1573,7682,37,7719
52,1957,6407353,34,6046,2099,8132,47,8179
53,1958,6695013,50,6800,2220,8994,76,9070
54,1959,6895603,10,7550,2078,9621,17,9638
55,1960,9101736,129,8913,2659,11617,84,11701
56,1961,9227432,41,8964,2458,11418,45,11463
57,1962,9815466,125,10126,3504,13724,31,13755
58,1963,9853358,27,11081,3149,14123,134,14257
59,1964,10455286,7,12397,2885,15217,72,15289
60,1965,11645452,108,11307,3770,15048,137,15185
61,1966,11311773,8,11784,3566,15174,184,15358
62,1967,10595503,39,13143,3356,16467,71,16538
63,1968,11925923,132,12643,3729,16336,168,16504
64,1969,66950329,27738,13696,3908,27709,17633,45342
65,1970,15505280,67,15279,4615,19801,160,19961
66,1971,12825920,32,14516,3313,17667,194,17861
67,1972,14566665,123,14879,3902,18745,159,18904
68,1973,12961796,36,14221,3583,17641,199,17840
69,1974,13739540,80,14065,4213,18168,190,18358
70,1975,13987636,194,15145,4029,19163,205,19368
71,1976,14141292,132,15787,4265,19863,321,20184
72,1977,14289948,127,15787,3922,19576,260,19836
73,1978,15671381,192,16772,3683,20246,401,20647
74,1979,15929691,137,19556,3591,22995,289,23284
75,1980,19799450,345,20715,4340,25064,336,25400
76,1981,18236654,144,20424,5164,25334,398,25732
77,1982,18528956,249,21176,5967,26979,413,27392
78,1983,20503294,334,22508,6348,28386,804,29190
79,1984,21730869,224,24091,6853,30465,703,31168
80,1985,22665475,227,24836,7008,31509,562,32071
81,1986,22340279,240,24461,7024,31080,645,31725
82,1987,23727156,302,25199,8855,33392,964,34356
83,1988,28780915,365,28833,8425,36404,1219,37623
84,1989,28333059,290,27869,9107,36195,1071,37266
85,1990,28979083,381,29081,9142,37353,1251,38604
86,1991,29913963,136,28040,7931,34649,1458,36107
87,1992,24910172,369,26003,7857,32928,1301,34229
88,1993,21457419,179,23696,7353,29802,1426,31228
89,1994,18426617,120,18166,5953,22987,1252,24239
90,1995,13245643,242,13624,4470,17153,1183,18336
91,1996,10605105,58,6933,3128,9095,1024,10119
92,1997,7787596,32,5354,1307,5680,1013,6693
93,1998,4083725,2,4028,1008,4404,634,5038
94,1999,3991414,0,3072,1229,3704,597,4301
95,2000,4427157,65,2745,579,2914,475,3389
96,2001,1189828,0,1303,287,1429,161,1590
97,2002,511640,8,477,136,528,93,621
98,2003,105269,0,1,1,0,2,2
