,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,22800,24,0,0,24,0,24
1,1886,27155,0,20,2,22,0,22
2,1887,47448,116,4,0,120,0,120
3,1888,18599,23,0,0,23,0,23
4,1890,1794,0,0,3,3,0,3
5,1894,22757,0,36,0,36,0,36
6,1897,3352,2,0,0,0,2,2
7,1899,42818,0,37,0,37,0,37
8,1900,270241,12,643,1,656,0,656
9,1901,30241,0,26,0,26,0,26
10,1910,8359,0,31,0,31,0,31
11,1912,23536,20,8,0,28,0,28
12,1915,2763,0,2,1,2,1,3
13,1916,2716,0,0,1,1,0,1
14,1917,9314,0,14,0,14,0,14
15,1918,6827,0,11,0,11,0,11
16,1919,25487,0,0,14,14,0,14
17,1921,6777,0,29,0,29,0,29
18,1923,107642,0,190,0,190,0,190
19,1928,1813,0,1,0,1,0,1
20,1929,13972,0,21,0,21,0,21
21,1930,11137,6,6,9,21,0,21
22,1931,22701,5,11,2,16,2,18
23,1932,76360,0,19,41,60,0,60
24,1933,12693,0,2,19,21,0,21
25,1934,62231,0,28,54,82,0,82
26,1935,46566,3,5,23,31,0,31
27,1936,27585,0,34,1,34,1,35
28,1937,123406,0,52,109,160,1,161
29,1938,71730,0,93,3,95,1,96
30,1939,146110,21,137,13,167,4,171
31,1940,216092,0,279,62,341,0,341
32,1941,401415,0,417,127,541,3,544
33,1942,551920,0,636,115,751,0,751
34,1943,729607,0,553,154,694,13,707
35,1944,466904,31,477,179,669,18,687
36,1945,562019,4,673,114,775,16,791
37,1946,1710968,8,1275,292,1555,20,1575
38,1947,1428099,0,1368,368,1724,12,1736
39,1948,1716107,0,1742,384,2120,6,2126
40,1949,1520711,36,1578,425,2029,10,2039
41,1950,2354742,22,2042,744,2764,44,2808
42,1951,2879766,5,3069,546,3578,42,3620
43,1952,3183200,1,3145,851,3936,61,3997
44,1953,4818729,0,5243,1064,6218,89,6307
45,1954,5375092,21,5234,1836,6982,109,7091
46,1955,8375891,0,5817,1590,7299,108,7407
47,1956,7130616,30,7473,2121,9502,122,9624
48,1957,12533609,4,7326,2654,9878,106,9984
49,1958,8731068,106,8570,2654,11169,161,11330
50,1959,10136034,66,10694,2740,13378,122,13500
51,1960,11382200,56,11390,3528,14708,266,14974
52,1961,10981924,60,10393,3219,13416,256,13672
53,1962,12409150,79,12074,4302,16159,296,16455
54,1963,13520043,39,13525,4148,17380,332,17712
55,1964,12944843,5,13830,3664,17123,376,17499
56,1965,13764197,155,12481,4818,17117,337,17454
57,1966,13936467,23,13648,4323,17459,535,17994
58,1967,22359260,121,15029,4289,18967,472,19439
59,1968,15784848,214,14922,4772,19533,375,19908
60,1969,248517669,116276,16124,5124,37171,100353,137524
61,1970,19334282,69,18885,5582,24021,515,24536
62,1971,17363828,58,17202,5219,21945,534,22479
63,1972,17319923,83,16498,4676,20743,514,21257
64,1973,17591596,23,16811,5039,21244,629,21873
65,1974,16670031,170,16913,5136,21629,590,22219
66,1975,17666270,352,18389,5017,23045,713,23758
67,1976,19156354,118,19298,5161,24069,508,24577
68,1977,19503705,287,19978,5153,24540,878,25418
69,1978,30128057,169,21111,6610,27152,738,27890
70,1979,21590893,160,22714,5936,27949,861,28810
71,1980,24885737,327,23536,6686,29523,1026,30549
72,1981,25781144,253,26069,7698,33050,970,34020
73,1982,27115612,243,27399,8045,34540,1147,35687
74,1983,29520259,303,28348,9654,36692,1613,38305
75,1984,49980537,286,31273,9013,39232,1340,40572
76,1985,35734694,218,34867,11632,45067,1650,46717
77,1986,35301761,325,33502,11707,43661,1873,45534
78,1987,41378884,460,33886,12749,44592,2503,47095
79,1988,74210508,242,36179,13643,46922,3142,50064
80,1989,46838288,348,36137,13258,47086,2657,49743
81,1990,43149002,381,35543,14264,47545,2643,50188
82,1991,39817305,124,34493,13482,45516,2583,48099
83,1992,39438099,242,30788,12928,41090,2868,43958
84,1993,32399001,128,27926,11059,36298,2815,39113
85,1994,24824937,109,19380,8134,25286,2337,27623
86,1995,18534609,159,13663,5464,17035,2251,19286
87,1996,8858364,112,8023,3177,10230,1082,11312
88,1997,6684918,47,6571,2410,7798,1230,9028
89,1998,5796863,47,5338,1967,6398,954,7352
90,1999,4074208,10,3540,1193,4009,734,4743
91,2000,2374473,37,2302,392,2266,465,2731
92,2001,1229439,38,951,232,986,235,1221
93,2002,3529372,7,184,11,161,41,202
