,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,4180,6,0,0,6,0,6
1,1886,16674,0,16,7,23,0,23
2,1887,36526,42,0,0,42,0,42
3,1888,45740,1,70,2,73,0,73
4,1889,2849,0,0,2,2,0,2
5,1890,9892,0,0,17,17,0,17
6,1895,9262,0,16,0,16,0,16
7,1896,511,0,0,1,1,0,1
8,1899,9144,0,10,0,10,0,10
9,1900,156957,25,247,0,263,9,272
10,1901,55660,0,42,5,45,2,47
11,1907,18067,0,14,0,14,0,14
12,1909,56330,28,0,0,28,0,28
13,1910,8538,0,24,0,24,0,24
14,1911,3340,0,0,2,0,2,2
15,1912,33400,23,14,0,37,0,37
16,1913,414,0,1,0,1,0,1
17,1915,2666,0,3,0,3,0,3
18,1916,10524,0,0,14,14,0,14
19,1917,3495,0,6,0,6,0,6
20,1918,1377,0,2,0,2,0,2
21,1919,6455,3,0,1,4,0,4
22,1921,7733,0,30,0,30,0,30
23,1922,3194,0,3,0,3,0,3
24,1923,90297,0,72,0,72,0,72
25,1924,26384,0,61,0,61,0,61
26,1926,314,0,1,0,0,1,1
27,1929,1853,0,0,2,2,0,2
28,1930,52099,0,41,13,52,2,54
29,1931,2541,1,2,2,5,0,5
30,1932,28109,0,19,35,54,0,54
31,1933,25289,0,1,31,31,1,32
32,1934,33677,0,18,28,43,3,46
33,1935,216473,18,8,49,75,0,75
34,1936,33742,0,91,4,95,0,95
35,1937,173166,0,46,156,200,2,202
36,1938,102880,0,126,26,152,0,152
37,1939,82763,17,53,13,83,0,83
38,1940,184852,0,249,51,299,1,300
39,1941,426989,0,383,154,537,0,537
40,1942,495335,0,648,60,706,2,708
41,1943,486624,0,343,121,457,7,464
42,1944,406914,3,406,126,522,13,535
43,1945,561289,0,654,96,734,16,750
44,1946,1746225,0,1008,381,1381,8,1389
45,1947,1330603,0,1234,415,1635,14,1649
46,1948,1672527,0,1740,430,2142,28,2170
47,1949,1559633,27,1607,321,1934,21,1955
48,1950,2040202,36,1877,738,2627,24,2651
49,1951,2845554,4,2959,484,3389,58,3447
50,1952,2955100,1,3020,760,3757,24,3781
51,1953,4420636,5,4865,967,5797,40,5837
52,1954,5103443,23,4888,1724,6520,115,6635
53,1955,5632544,17,5450,1446,6842,71,6913
54,1956,6744924,18,6868,1937,8717,106,8823
55,1957,8048440,57,7129,2555,9548,193,9741
56,1958,8371650,54,7915,2521,10247,243,10490
57,1959,9681898,31,8954,2974,11793,166,11959
58,1960,10941243,180,10270,3391,13631,210,13841
59,1961,10738138,52,10941,3409,14200,202,14402
60,1962,12821735,146,11630,4230,15698,308,16006
61,1963,12542895,39,12819,3825,16364,319,16683
62,1964,13661134,21,14775,3621,18127,290,18417
63,1965,14601060,134,12673,5065,17380,492,17872
64,1966,15054493,27,14085,4773,18275,610,18885
65,1967,14910174,98,15504,4296,19563,335,19898
66,1968,16511132,207,14950,4907,19606,458,20064
67,1969,126913301,58366,16481,4746,34770,44823,79593
68,1970,19294773,76,18212,6343,23856,775,24631
69,1971,17847683,60,17532,4801,21931,462,22393
70,1972,16788085,152,17549,4855,22020,536,22556
71,1973,17081738,63,17098,4721,21336,546,21882
72,1974,17094746,141,17132,5350,22126,497,22623
73,1975,18898571,448,17932,5260,23067,573,23640
74,1976,18351024,187,18788,5301,23592,684,24276
75,1977,18638791,172,18811,5399,23599,783,24382
76,1978,18578187,160,19684,5402,24387,859,25246
77,1979,20649229,169,22184,5404,26886,871,27757
78,1980,24471891,346,23863,6336,29389,1156,30545
79,1981,27342988,291,25330,7005,31496,1130,32626
80,1982,27063369,333,26484,8181,33930,1068,34998
81,1983,28678676,279,27796,8690,35162,1603,36765
82,1984,30522863,245,29988,9485,38262,1456,39718
83,1985,30851892,249,30986,10174,39854,1555,41409
84,1986,34453345,251,32334,9890,40380,2095,42475
85,1987,35063586,434,31451,12089,41952,2022,43974
86,1988,46398900,541,37525,12649,47272,3443,50715
87,1989,39809048,371,37002,12768,47871,2270,50141
88,1990,42538326,690,36097,13730,48151,2366,50517
89,1991,35606061,250,34674,12339,44345,2918,47263
90,1992,35579880,421,33589,12194,43394,2810,46204
91,1993,32947241,288,31187,11585,40556,2504,43060
92,1994,28145600,180,24891,8958,31354,2675,34029
93,1995,24696909,213,18391,7439,23621,2422,26043
94,1996,13746158,203,10886,4566,13993,1662,15655
95,1997,9717491,83,8450,3205,10516,1222,11738
96,1998,9954015,39,7590,2082,8473,1238,9711
97,1999,8109871,14,5833,1722,6627,942,7569
98,2000,3759238,18,3825,908,3989,762,4751
99,2001,2305753,37,1710,359,1881,225,2106
100,2002,1108959,4,703,244,758,193,951
