,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,24474,32,0,0,32,0,32
1,1886,31570,0,30,7,37,0,37
2,1887,60020,73,0,12,85,0,85
3,1888,172982,7,120,0,125,2,127
4,1889,5131,0,0,6,6,0,6
5,1890,6008,0,0,12,12,0,12
6,1893,5836,0,0,3,3,0,3
7,1894,15749,0,25,0,25,0,25
8,1895,56545,0,26,39,65,0,65
9,1897,7679,5,0,0,5,0,5
10,1899,25528,0,22,0,22,0,22
11,1900,167168,16,245,13,258,16,274
12,1901,98886,0,54,16,70,0,70
13,1906,1517,0,1,0,0,1,1
14,1907,3885,0,2,0,2,0,2
15,1909,113668,40,0,0,40,0,40
16,1910,13466,0,36,0,36,0,36
17,1912,23697,19,13,0,32,0,32
18,1913,2144,0,2,0,2,0,2
19,1915,5999,0,7,0,7,0,7
20,1917,20383,0,23,0,23,0,23
21,1918,15990,0,25,0,25,0,25
22,1919,1267,0,0,1,1,0,1
23,1920,1459,0,1,0,0,1,1
24,1921,5685,0,7,6,13,0,13
25,1922,5013,0,3,0,0,3,3
26,1923,255341,0,181,24,205,0,205
27,1924,19182,0,40,0,40,0,40
28,1926,2472,0,7,0,7,0,7
29,1927,8596,7,0,0,0,7,7
30,1928,5626,0,4,0,4,0,4
31,1929,1391,0,0,1,1,0,1
32,1930,113033,0,43,54,97,0,97
33,1931,28779,7,7,12,26,0,26
34,1932,80352,0,36,76,100,12,112
35,1933,60459,0,7,65,67,5,72
36,1934,73928,0,21,73,94,0,94
37,1935,576481,0,22,116,131,7,138
38,1936,24597,0,72,0,72,0,72
39,1937,151913,1,71,100,171,1,172
40,1938,110777,0,163,3,165,1,166
41,1939,203128,24,136,30,190,0,190
42,1940,480113,8,566,89,647,16,663
43,1941,469775,0,405,196,599,2,601
44,1942,805933,0,866,97,960,3,963
45,1943,593297,0,486,163,638,11,649
46,1944,634789,11,657,263,928,3,931
47,1945,616656,0,739,112,846,5,851
48,1946,1447096,16,1341,389,1731,15,1746
49,1947,2004094,0,1890,629,2502,17,2519
50,1948,2018433,1,2173,360,2505,29,2534
51,1949,2577461,10,2401,533,2875,69,2944
52,1950,2545781,55,2270,821,3100,46,3146
53,1951,5228509,10,4030,631,4628,43,4671
54,1952,4044110,0,3604,1084,4575,113,4688
55,1953,5903043,4,6049,1342,7258,137,7395
56,1954,6589535,13,6192,2291,8373,123,8496
57,1955,6924631,0,6539,1783,8209,113,8322
58,1956,9327738,29,9402,2607,11846,192,12038
59,1957,11588119,132,9969,3472,13295,278,13573
60,1958,11001601,20,10001,3479,13234,266,13500
61,1959,14091663,50,11688,3956,15389,305,15694
62,1960,14363268,167,13650,4352,17782,387,18169
63,1961,15155061,67,14674,4659,18925,475,19400
64,1962,16183804,67,14355,5476,19393,505,19898
65,1963,17773905,7,16607,5323,21359,578,21937
66,1964,19344031,5,17176,5443,21817,807,22624
67,1965,18022405,198,16156,6590,22182,762,22944
68,1966,19477456,47,17361,5811,22421,798,23219
69,1967,19972851,122,19154,5707,24242,741,24983
70,1968,20947213,266,18262,6507,24235,800,25035
71,1969,407227364,193832,21318,6369,50502,171017,221519
72,1970,25555486,54,23351,6844,29117,1132,30249
73,1971,24012628,60,21788,6422,27452,818,28270
74,1972,22934047,187,21754,6099,27072,968,28040
75,1973,23964459,70,22556,6528,28012,1142,29154
76,1974,26618910,269,23142,7263,29545,1129,30674
77,1975,27342006,390,24583,7266,31061,1178,32239
78,1976,28462337,326,25814,7307,32502,945,33447
79,1977,33165904,284,25877,8055,32994,1222,34216
80,1978,35586234,207,27595,9188,35482,1508,36990
81,1979,34485006,265,32556,9200,40411,1610,42021
82,1980,38711143,572,34850,10398,44044,1776,45820
83,1981,40562584,474,38261,11535,48342,1928,50270
84,1982,49343530,418,41943,14471,54688,2144,56832
85,1983,49806304,355,42084,14967,54604,2802,57406
86,1984,54862892,563,47733,15949,61162,3083,64245
87,1985,65872789,588,51139,18722,67325,3124,70449
88,1986,62698430,596,51640,19412,67909,3739,71648
89,1987,66527022,563,52539,23177,72025,4254,76279
90,1988,94379746,689,61000,24779,79506,6962,86468
91,1989,78788561,561,58155,24375,77997,5094,83091
92,1990,77009679,726,56334,26246,77749,5557,83306
93,1991,68318939,213,53107,24433,72823,4930,77753
94,1992,65994138,337,50355,22305,67664,5333,72997
95,1993,62779034,342,46729,21070,62759,5382,68141
96,1994,49613819,306,37158,16819,48472,5811,54283
97,1995,39102042,149,25911,12315,32881,5494,38375
98,1996,26124476,210,13360,7231,16511,4290,20801
99,1997,21154854,66,11473,4490,12437,3592,16029
100,1998,17688804,53,7859,2699,7836,2775,10611
101,1999,16793460,20,6909,2444,7001,2372,9373
102,2000,8113156,68,4667,1300,4263,1772,6035
103,2001,3107150,28,2122,682,2083,749,2832
104,2002,1458646,3,535,291,435,394,829
