,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,11694,26,0,0,26,0,26
1,1941,7381,0,5,14,19,0,19
2,1942,492,0,1,0,1,0,1
3,1944,7365,0,15,0,15,0,15
4,1946,1919,0,1,0,1,0,1
5,1947,1330,0,3,0,1,2,3
6,1948,4852,0,1,0,0,1,1
7,1949,8507,0,28,0,28,0,28
8,1950,26715,0,42,0,42,0,42
9,1951,5963,1,18,0,18,1,19
10,1952,39294,0,99,22,121,0,121
11,1953,42537,0,15,48,63,0,63
12,1954,84285,0,91,61,151,1,152
13,1955,23006,0,37,20,52,5,57
14,1956,193058,0,359,21,380,0,380
15,1957,51207,0,121,6,124,3,127
16,1958,147394,0,275,32,306,1,307
17,1959,91284,0,100,73,167,6,173
18,1960,154317,0,318,6,324,0,324
19,1961,209014,0,132,68,200,0,200
20,1962,229485,0,361,96,457,0,457
21,1963,241016,0,303,45,345,3,348
22,1964,226491,0,353,49,401,1,402
23,1965,165634,0,192,28,217,3,220
24,1966,142549,0,199,29,228,0,228
25,1967,163913,0,272,92,364,0,364
26,1968,240458,0,375,88,459,4,463
27,1969,9690675,2331,279,48,961,1697,2658
28,1970,550081,0,586,72,648,10,658
29,1971,460483,0,375,196,564,7,571
30,1972,247978,0,463,48,509,2,511
31,1973,230947,0,359,162,502,19,521
32,1974,163338,0,244,102,345,1,346
33,1975,331435,0,535,172,703,4,707
34,1976,483024,37,599,149,783,2,785
35,1977,481206,5,759,208,961,11,972
36,1978,492105,18,786,190,985,9,994
37,1979,516311,1,770,108,861,18,879
38,1980,556814,9,942,258,1198,11,1209
39,1981,660851,64,907,286,1241,16,1257
40,1982,570337,0,933,240,1143,30,1173
41,1983,836746,0,1215,313,1496,32,1528
42,1984,792278,28,1202,317,1521,26,1547
43,1985,699406,1,1107,299,1395,12,1407
44,1986,840392,0,1531,373,1865,39,1904
45,1987,763930,0,974,452,1403,23,1426
46,1988,988812,0,1428,360,1745,43,1788
47,1989,808634,0,1120,361,1427,54,1481
48,1990,713237,2,1162,263,1364,63,1427
49,1991,1243110,0,855,254,1049,60,1109
50,1992,1265852,0,789,290,1033,46,1079
51,1993,474044,16,515,219,646,104,750
52,1994,354605,0,534,192,711,15,726
53,1995,190333,0,91,176,249,18,267
54,1996,113855,0,21,149,145,25,170
55,1997,45765,0,23,13,16,20,36
56,1998,15974,0,15,7,17,5,22
57,1999,8325,0,2,1,0,3,3
58,2000,327,0,2,0,2,0,2
59,2001,2047,0,0,2,0,2,2
