,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,98,1,0,0,1,0,1
1,1941,1422,0,0,4,4,0,4
2,1944,2834,0,3,0,3,0,3
3,1949,20114,0,43,0,43,0,43
4,1950,5565,0,8,0,8,0,8
5,1951,8755,0,49,0,49,0,49
6,1952,10619,0,41,14,55,0,55
7,1953,52569,0,10,58,68,0,68
8,1954,24962,0,40,31,71,0,71
9,1955,11415,0,28,9,37,0,37
10,1956,44219,0,160,7,167,0,167
11,1957,27770,0,60,16,76,0,76
12,1958,89094,0,239,17,256,0,256
13,1959,42500,0,54,31,85,0,85
14,1960,70969,1,174,1,176,0,176
15,1961,28039,0,36,15,51,0,51
16,1962,123038,0,296,48,344,0,344
17,1963,87686,0,182,21,203,0,203
18,1964,52482,0,99,19,117,1,118
19,1965,42289,0,82,13,92,3,95
20,1966,57779,0,121,14,135,0,135
21,1967,43189,0,101,26,125,2,127
22,1968,58750,0,124,55,176,3,179
23,1969,706216,375,199,51,461,164,625
24,1970,91430,0,279,38,317,0,317
25,1971,156599,0,147,117,260,4,264
26,1972,89742,0,188,52,240,0,240
27,1973,158753,0,285,76,361,0,361
28,1974,89942,0,189,19,208,0,208
29,1975,129522,0,280,65,345,0,345
30,1976,151947,33,241,99,373,0,373
31,1977,208247,0,422,128,550,0,550
32,1978,207076,38,522,25,582,3,585
33,1979,168519,0,331,131,457,5,462
34,1980,353412,26,743,127,894,2,896
35,1981,292422,46,544,184,765,9,774
36,1982,270126,0,455,163,616,2,618
37,1983,285420,0,591,162,747,6,753
38,1984,285474,2,601,152,748,7,755
39,1985,309197,2,640,212,849,5,854
40,1986,353483,0,794,162,941,15,956
41,1987,597385,0,895,262,1148,9,1157
42,1988,703842,6,1019,258,1274,9,1283
43,1989,430936,0,758,295,1028,25,1053
44,1990,377270,37,756,165,946,12,958
45,1991,445195,0,605,239,817,27,844
46,1992,253037,1,427,204,616,16,632
47,1993,222162,1,479,47,519,8,527
48,1994,232568,7,337,168,491,21,512
49,1995,127910,0,175,64,229,10,239
50,1996,65882,0,30,90,107,13,120
51,1997,7081,0,7,6,4,9,13
52,1998,96128,0,33,6,32,7,39
53,1999,8648,0,3,3,0,6,6
54,2000,9508,0,3,2,0,5,5
55,2001,2614,0,1,0,0,1,1
