,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1888,2882,6,0,0,6,0,6
1,1941,3291,0,10,1,11,0,11
2,1944,5299,0,10,0,10,0,10
3,1946,216,0,1,0,1,0,1
4,1947,1426,0,4,0,4,0,4
5,1948,3548,0,2,1,3,0,3
6,1949,13558,0,45,0,45,0,45
7,1950,25640,0,41,0,41,0,41
8,1951,26984,0,48,2,46,4,50
9,1952,33988,0,67,16,81,2,83
10,1953,56502,0,7,94,101,0,101
11,1954,109571,0,163,40,203,0,203
12,1955,42925,0,54,27,81,0,81
13,1956,205139,0,330,21,346,5,351
14,1957,33775,0,64,28,91,1,92
15,1958,211284,0,361,45,406,0,406
16,1959,144143,0,103,98,200,1,201
17,1960,172725,0,315,17,325,7,332
18,1961,142472,0,112,73,176,9,185
19,1962,257353,4,414,102,520,0,520
20,1963,228984,0,236,167,398,5,403
21,1964,683210,0,323,65,383,5,388
22,1965,128287,0,164,34,194,4,198
23,1966,194988,0,283,33,312,4,316
24,1967,164240,1,287,97,384,1,385
25,1968,254877,0,412,120,524,8,532
26,1969,8189627,3086,357,65,1210,2298,3508
27,1970,319918,0,595,96,681,10,691
28,1971,374027,0,391,154,536,9,545
29,1972,282204,0,492,65,556,1,557
30,1973,250799,0,364,139,493,10,503
31,1974,280404,0,394,155,541,8,549
32,1975,329126,0,579,159,720,18,738
33,1976,468862,44,669,199,900,12,912
34,1977,561675,5,769,304,1049,29,1078
35,1978,503328,31,855,125,999,12,1011
36,1979,444268,16,572,187,727,48,775
37,1980,705992,4,1025,301,1299,31,1330
38,1981,744704,41,1044,416,1453,48,1501
39,1982,883969,4,1120,375,1451,48,1499
40,1983,980413,0,1389,375,1722,42,1764
41,1984,952640,37,1263,426,1676,50,1726
42,1985,952395,4,1312,366,1631,51,1682
43,1986,1100823,0,1822,394,2130,86,2216
44,1987,1181954,0,1493,694,2105,82,2187
45,1988,1420063,33,2011,634,2596,82,2678
46,1989,1106677,0,1563,524,1989,98,2087
47,1990,1107145,12,1324,407,1636,107,1743
48,1991,1041134,0,1392,400,1682,110,1792
49,1992,1086844,11,1114,384,1415,94,1509
50,1993,698742,9,720,329,964,94,1058
51,1994,631156,0,579,290,816,53,869
52,1995,427909,0,204,195,358,41,399
53,1996,152869,0,62,179,189,52,241
54,1997,89294,0,68,17,40,45,85
55,1998,431864,0,42,9,17,34,51
56,1999,36173,0,17,9,1,25,26
57,2000,4906,0,2,1,0,3,3
58,2001,18121,0,3,0,0,3,3
59,2002,10779,0,1,3,0,4,4
