,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,598,103,56,741,16,757,1,02/01/2019
1,3184,Paulus Hook,40.7141454,-74.0335519,356,32,17,396,9,405,1,02/01/2019
2,3185,City Hall,40.717732500000004,-74.04384499999999,411,70,16,494,3,497,1,02/01/2019
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,1903,479,65,2403,44,2447,1,02/01/2019
4,3187,Warren St,40.721123600000006,-74.03805095,285,63,12,352,8,360,1,02/01/2019
5,3191,Union St,40.71821129999999,-74.08363940000001,11,17,0,28,0,28,1,02/01/2019
6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,217,50,15,253,29,282,1,02/01/2019
7,3193,Lincoln Park,40.7246050998869,-74.07840594649316,100,39,1,137,3,140,1,02/01/2019
8,3194,McGinley Square,40.7253399253558,-74.06762212514876,249,48,2,294,5,299,1,02/01/2019
9,3195,Sip Ave,40.730742625306576,-74.06378388404845,890,178,14,1070,12,1082,1,02/01/2019
10,3196,Riverview Park,40.7443187,-74.04399090000001,57,8,3,60,8,68,1,02/01/2019
11,3198,Heights Elevator,40.748715945380226,-74.04044330120088,69,31,2,97,5,102,1,02/01/2019
12,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,262,87,19,354,14,368,1,02/01/2019
13,3201,Dey St,40.737711,-74.066921,49,2,1,50,2,52,1,02/01/2019
14,3202,Newport PATH,40.7272235,-74.03375890000001,600,136,24,740,20,760,1,02/01/2019
15,3203,Hamilton Park,40.727595965999996,-74.044247311,660,268,29,921,36,957,1,02/01/2019
16,3205,JC Medical Center,40.71653978099194,-74.0496379137039,197,47,15,251,8,259,1,02/01/2019
17,3206,Hilltop,40.7311689,-74.0575736,93,32,7,129,3,132,1,02/01/2019
18,3207,Oakland Ave,40.7376037,-74.05247829999999,216,39,8,255,8,263,1,02/01/2019
19,3209,Brunswick St,40.7241765,-74.05065640000001,413,92,7,500,12,512,1,02/01/2019
20,3210,Pershing Field,40.742677141,-74.051788633,236,29,5,261,9,270,1,02/01/2019
21,3211,Newark Ave,40.72152515,-74.046304543,379,101,22,491,11,502,1,02/01/2019
22,3212,Christ Hospital,40.734785818,-74.050443636,59,42,2,101,2,103,1,02/01/2019
23,3213,Van Vorst Park,40.71848892,-74.047726625,356,73,12,436,5,441,1,02/01/2019
24,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,203,66,12,274,7,281,1,02/01/2019
25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,89,22,0,109,2,111,1,02/01/2019
26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,179,19,10,206,2,208,1,02/01/2019
27,3267,Morris Canal,40.7124188237569,-74.03852552175522,308,77,46,423,8,431,1,02/01/2019
28,3268,Lafayette Park,40.71346382669195,-74.06285852193831,77,11,2,83,7,90,1,02/01/2019
29,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,319,128,5,446,6,452,1,02/01/2019
30,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,341,109,28,470,8,478,1,02/01/2019
31,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,335,127,11,470,3,473,1,02/01/2019
32,3273,Manila & 1st,40.72165072487999,-74.04288411140442,260,59,7,321,5,326,1,02/01/2019
33,3275,Columbus Drive,40.71835519823214,-74.03891444206238,367,58,8,425,8,433,1,02/01/2019
34,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,418,71,2,484,7,491,1,02/01/2019
35,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,38,13,1,48,4,52,1,02/01/2019
36,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,244,130,10,380,4,384,1,02/01/2019
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275,265,97,4,365,1,366,1,02/01/2019
38,3280,Astor Place,40.71928220070703,-74.07126188278198,171,45,12,209,19,228,1,02/01/2019
39,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,110,19,5,126,8,134,1,02/01/2019
40,3426,JCBS Depot,40.70965083364061,-74.0686011314392,6,0,0,6,0,6,1,02/01/2019
41,3481,York St,40.71649,-74.04105,108,64,4,173,3,176,1,02/01/2019
42,3483,Montgomery St,40.71942,-74.05099,181,57,9,242,5,247,1,02/01/2019
43,3638,Washington St,40.7242941,-74.0354826,230,79,13,304,18,322,1,02/01/2019
44,3639,Harborside,40.71925170000001,-74.034234,522,119,35,656,20,676,1,02/01/2019
