,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,72.0,W 52 St & 11 Ave,40.76727216,-73.99392888,1481,315,35,1759,72,1831,1,02/01/2019
1,79.0,Franklin St & W Broadway,40.71911552,-74.00666661,941,244,63,1190,58,1248,1,02/01/2019
2,82.0,St James Pl & Pearl St,40.71117416,-74.00016545,441,190,23,614,40,654,1,02/01/2019
3,83.0,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,452,141,44,567,70,637,1,02/01/2019
4,119.0,Park Ave & St Edwards St,40.69608941,-73.97803415,134,35,2,165,6,171,1,02/01/2019
5,120.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,404,170,19,578,15,593,1,02/01/2019
6,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,2273,624,43,2869,71,2940,1,02/01/2019
7,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,1791,751,97,2512,127,2639,1,02/01/2019
8,143.0,Clinton St & Joralemon St,40.69239502,-73.99337909,994,351,42,1360,27,1387,1,02/01/2019
9,144.0,Nassau St & Navy St,40.69839895,-73.98068914,308,101,32,387,54,441,1,02/01/2019
10,146.0,Hudson St & Reade St,40.71625008,-74.0091059,1267,342,47,1607,49,1656,1,02/01/2019
11,150.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,1246,492,15,1691,62,1753,1,02/01/2019
12,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,2694,878,199,3567,204,3771,1,02/01/2019
13,157.0,Henry St & Atlantic Ave,40.69089272,-73.99612349,699,317,113,1087,42,1129,1,02/01/2019
14,161.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,1806,661,135,2473,129,2602,1,02/01/2019
15,164.0,E 47 St & 2 Ave,40.75323098,-73.97032517,1381,452,29,1804,58,1862,1,02/01/2019
16,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,2165,426,72,2568,95,2663,1,02/01/2019
17,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,2875,792,71,3645,93,3738,1,02/01/2019
18,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3089,496,116,3480,221,3701,1,02/01/2019
19,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,1814,550,81,2373,72,2445,1,02/01/2019
20,195.0,Liberty St & Broadway,40.70905623,-74.01043382,1885,323,132,2163,177,2340,1,02/01/2019
21,212.0,W 16 St & The High Line,40.74334935,-74.00681753,1664,482,63,2115,94,2209,1,02/01/2019
22,216.0,Columbia Heights & Cranberry St,40.70037867,-73.99548059,188,96,34,273,45,318,1,02/01/2019
23,217.0,Old Fulton St,40.70277159,-73.99383605,539,198,162,626,273,899,1,02/01/2019
24,223.0,W 13 St & 7 Ave,40.73781509,-73.99994661,2165,611,82,2747,111,2858,1,02/01/2019
25,224.0,Spruce St & Nassau St,40.71146364,-74.00552427,564,191,80,701,134,835,1,02/01/2019
26,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,1354,174,61,1521,68,1589,1,02/01/2019
27,229.0,Great Jones St,40.72743423,-73.99379025,2937,875,62,3778,96,3874,1,02/01/2019
28,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2121,688,90,2787,112,2899,1,02/01/2019
29,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,2454,884,95,3316,117,3433,1,02/01/2019
30,238.0,Bank St & Washington St,40.7361967,-74.00859207,1124,485,39,1559,89,1648,1,02/01/2019
31,239.0,Willoughby St & Fleet St,40.69196566,-73.9813018,1196,460,20,1653,23,1676,1,02/01/2019
32,241.0,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,499,206,44,715,34,749,1,02/01/2019
33,242.0,Carlton Ave & Flushing Ave,40.697787,-73.973736,391,81,20,465,27,492,1,02/01/2019
34,243.0,Fulton St & Rockwell Pl,40.688226,-73.979382,430,146,12,576,12,588,1,02/01/2019
35,244.0,Willoughby Ave & Hall St,40.69196035,-73.96536851,763,328,32,1104,19,1123,1,02/01/2019
36,245.0,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,325,96,12,413,20,433,1,02/01/2019
37,247.0,Perry St & Bleecker St,40.73535398,-74.00483091,981,315,45,1267,74,1341,1,02/01/2019
38,248.0,Laight St & Hudson St,40.72185379,-74.00771779,449,76,30,519,36,555,1,02/01/2019
39,249.0,Harrison St & Hudson St,40.71870987,-74.0090009,657,159,22,812,26,838,1,02/01/2019
40,251.0,Mott St & Prince St,40.72317958,-73.99480012,1555,532,91,2080,98,2178,1,02/01/2019
41,252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,1282,348,100,1592,138,1730,1,02/01/2019
42,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,1586,547,68,2108,93,2201,1,02/01/2019
43,257.0,Lispenard St & Broadway,40.71939226,-74.00247214,1643,307,48,1924,74,1998,1,02/01/2019
44,258.0,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,685,311,30,1008,18,1026,1,02/01/2019
45,259.0,South St & Whitehall St,40.70122128,-74.01234218,665,165,57,785,102,887,1,02/01/2019
46,260.0,Broad St & Bridge St,40.70365182,-74.01167797,658,179,16,827,26,853,1,02/01/2019
47,261.0,Johnson St & Gold St,40.69474881,-73.98362464,507,176,17,665,35,700,1,02/01/2019
48,262.0,Washington Park,40.6917823,-73.97372990000001,506,209,32,736,11,747,1,02/01/2019
49,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,857,192,31,1011,69,1080,1,02/01/2019
50,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,1520,467,76,1970,93,2063,1,02/01/2019
51,266.0,Avenue D & E 8 St,40.72368361,-73.97574813,818,394,64,1234,42,1276,1,02/01/2019
52,267.0,Broadway & W 36 St,40.75097711,-73.98765428,1887,336,135,2160,198,2358,1,02/01/2019
53,268.0,Howard St & Centre St,40.71910537,-73.99973337,1586,438,48,1972,100,2072,1,02/01/2019
54,270.0,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,793,391,22,1178,28,1206,1,02/01/2019
55,274.0,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,581,256,25,833,29,862,1,02/01/2019
56,275.0,Washington Ave & Greene Ave,40.68650065,-73.96563307,438,159,19,595,21,616,1,02/01/2019
57,276.0,Duane St & Greenwich St,40.71748752,-74.0104554,783,192,22,971,26,997,1,02/01/2019
58,278.0,Concord St & Bridge St,40.69766564,-73.98476437,248,105,21,342,32,374,1,02/01/2019
59,279.0,Peck Slip & Front St,40.707873,-74.00166999999999,910,345,75,1221,109,1330,1,02/01/2019
60,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,1257,456,44,1688,69,1757,1,02/01/2019
61,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,1691,474,365,1995,535,2530,1,02/01/2019
62,282.0,Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,493,274,45,748,64,812,1,02/01/2019
63,285.0,Broadway & E 14 St,40.73454567,-73.99074142,4418,1127,168,5490,223,5713,1,02/01/2019
64,289.0,Monroe St & Classon Ave,40.684568299999995,-73.95881081,258,163,17,412,26,438,1,02/01/2019
65,291.0,Madison St & Montgomery St,40.713126,-73.984844,706,217,25,927,21,948,1,02/01/2019
66,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,3587,1120,129,4650,186,4836,1,02/01/2019
67,295.0,Pike St & E Broadway,40.71406667,-73.99293911,1076,470,63,1553,56,1609,1,02/01/2019
68,296.0,Division St & Bowery,40.71413089,-73.99704679999999,1298,430,67,1730,65,1795,1,02/01/2019
69,297.0,E 15 St & 3 Ave,40.734232,-73.986923,2973,788,72,3732,101,3833,1,02/01/2019
70,298.0,3 Ave & Schermerhorn St,40.68683208,-73.9796772,569,160,40,720,49,769,1,02/01/2019
71,301.0,E 2 St & Avenue B,40.72217444,-73.98368779,1747,677,73,2407,90,2497,1,02/01/2019
72,302.0,Avenue D & E 3 St,40.72082834,-73.97793172,1026,538,27,1564,27,1591,1,02/01/2019
73,303.0,Mercer St & Spring St,40.72362738,-73.99949601,1200,323,83,1505,101,1606,1,02/01/2019
74,304.0,Broadway & Battery Pl,40.70463334,-74.01361706,1475,358,157,1814,176,1990,1,02/01/2019
75,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,1879,341,76,2225,71,2296,1,02/01/2019
76,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,2168,765,95,2929,99,3028,1,02/01/2019
77,308.0,St James Pl & Oliver St,40.71307916,-73.99851193,897,320,34,1204,47,1251,1,02/01/2019
78,309.0,Murray St & West St,40.7149787,-74.013012,1225,293,93,1496,115,1611,1,02/01/2019
79,310.0,State St & Smith St,40.68926942,-73.98912867,679,146,27,813,39,852,1,02/01/2019
80,311.0,Norfolk St & Broome St,40.7172274,-73.98802084,1466,590,64,2015,105,2120,1,02/01/2019
81,312.0,Allen St & Stanton St,40.722055,-73.989111,2376,715,107,3058,140,3198,1,02/01/2019
