,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,956,193,104,1181,72,1253,1,11/01/2018
1,3184,Paulus Hook,40.7141454,-74.0335519,451,45,20,495,21,516,1,11/01/2018
2,3185,City Hall,40.717732500000004,-74.04384499999999,454,131,19,580,24,604,1,11/01/2018
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2424,727,62,3163,50,3213,1,11/01/2018
4,3187,Warren St,40.721123600000006,-74.03805095,423,96,26,529,16,545,1,11/01/2018
5,3191,Union St,40.71821129999999,-74.08363940000001,57,26,0,81,2,83,1,11/01/2018
6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,325,64,21,366,44,410,1,11/01/2018
7,3193,Lincoln Park,40.7246050998869,-74.07840594649316,134,48,11,180,13,193,1,11/01/2018
8,3194,McGinley Square,40.7253399253558,-74.06762212514876,298,68,13,373,6,379,1,11/01/2018
9,3195,Sip Ave,40.730742625306576,-74.06378388404845,1094,218,48,1322,38,1360,1,11/01/2018
10,3196,Riverview Park,40.7443187,-74.04399090000001,90,17,4,102,9,111,1,11/01/2018
11,3198,Heights Elevator,40.748715945380226,-74.04044330120088,133,30,4,159,8,167,1,11/01/2018
12,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,375,149,34,506,52,558,1,11/01/2018
13,3201,Dey St,40.737711,-74.066921,46,9,0,54,1,55,1,11/01/2018
14,3202,Newport PATH,40.7272235,-74.03375890000001,769,211,30,971,39,1010,1,11/01/2018
15,3203,Hamilton Park,40.727595965999996,-74.044247311,977,471,52,1475,25,1500,1,11/01/2018
16,3205,JC Medical Center,40.71653978099194,-74.0496379137039,244,42,37,289,34,323,1,11/01/2018
17,3206,Hilltop,40.7311689,-74.0575736,129,48,6,162,21,183,1,11/01/2018
18,3207,Oakland Ave,40.7376037,-74.05247829999999,293,69,6,358,10,368,1,11/01/2018
19,3209,Brunswick St,40.7241765,-74.05065640000001,437,134,12,566,17,583,1,11/01/2018
20,3210,Pershing Field,40.742677141,-74.051788633,306,48,2,344,12,356,1,11/01/2018
21,3211,Newark Ave,40.72152515,-74.046304543,458,146,30,619,15,634,1,11/01/2018
22,3212,Christ Hospital,40.734785818,-74.050443636,72,43,2,111,6,117,1,11/01/2018
23,3213,Van Vorst Park,40.71848892,-74.047726625,414,174,36,614,10,624,1,11/01/2018
24,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,279,82,13,363,11,374,1,11/01/2018
25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,116,15,1,131,1,132,1,11/01/2018
26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,195,48,15,243,15,258,1,11/01/2018
27,3267,Morris Canal,40.7124188237569,-74.03852552175522,452,100,49,578,23,601,1,11/01/2018
