,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,1553,350,277,1888,292,2180,1,07/01/2018
1,3184,Paulus Hook,40.7141454,-74.0335519,909,162,117,1029,159,1188,1,07/01/2018
2,3185,City Hall,40.717732500000004,-74.04384499999999,704,265,66,950,85,1035,1,07/01/2018
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3221,920,214,4180,175,4355,1,07/01/2018
4,3187,Warren St,40.721123600000006,-74.03805095,825,284,114,1146,77,1223,1,07/01/2018
5,3191,Union St,40.71821129999999,-74.08363940000001,92,33,1,117,9,126,1,07/01/2018
6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,552,205,275,670,362,1032,1,07/01/2018
7,3193,Lincoln Park,40.7246050998869,-74.07840594649316,211,60,28,264,35,299,1,07/01/2018
8,3194,McGinley Square,40.7253399253558,-74.06762212514876,457,84,27,544,24,568,1,07/01/2018
9,3195,Sip Ave,40.730742625306576,-74.06378388404845,1549,436,78,1966,97,2063,1,07/01/2018
10,3196,Riverview Park,40.7443187,-74.04399090000001,202,47,47,255,41,296,1,07/01/2018
11,3198,Heights Elevator,40.748715945380226,-74.04044330120088,257,39,31,284,43,327,1,07/01/2018
12,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,878,402,110,1194,196,1390,1,07/01/2018
13,3201,Dey St,40.737711,-74.066921,139,24,12,143,32,175,1,07/01/2018
14,3202,Newport PATH,40.7272235,-74.03375890000001,1424,429,158,1810,201,2011,1,07/01/2018
15,3203,Hamilton Park,40.727595965999996,-74.044247311,1686,591,121,2288,110,2398,1,07/01/2018
16,3205,JC Medical Center,40.71653978099194,-74.0496379137039,395,137,81,528,85,613,1,07/01/2018
17,3206,Hilltop,40.7311689,-74.0575736,280,107,37,377,47,424,1,07/01/2018
18,3207,Oakland Ave,40.7376037,-74.05247829999999,420,173,35,578,50,628,1,07/01/2018
19,3209,Brunswick St,40.7241765,-74.05065640000001,535,224,30,747,42,789,1,07/01/2018
20,3210,Pershing Field,40.742677141,-74.051788633,382,71,19,431,41,472,1,07/01/2018
21,3211,Newark Ave,40.72152515,-74.046304543,745,261,93,1026,73,1099,1,07/01/2018
22,3212,Christ Hospital,40.734785818,-74.050443636,185,71,14,243,27,270,1,07/01/2018
23,3213,Van Vorst Park,40.71848892,-74.047726625,672,354,64,1036,54,1090,1,07/01/2018
24,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,453,201,66,627,93,720,1,07/01/2018
25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,202,33,20,234,21,255,1,07/01/2018
26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,326,86,45,414,43,457,1,07/01/2018
27,3267,Morris Canal,40.7124188237569,-74.03852552175522,834,270,169,1154,119,1273,1,07/01/2018
28,3268,Lafayette Park,40.71346382669195,-74.06285852193831,164,78,27,215,54,269,1,07/01/2018
29,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,595,314,57,931,35,966,1,07/01/2018
30,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,610,259,20,859,30,889,1,07/01/2018
31,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,650,284,38,922,50,972,1,07/01/2018
32,3273,Manila & 1st,40.72165072487999,-74.04288411140442,502,215,32,708,41,749,1,07/01/2018
33,3275,Columbus Drive,40.71835519823214,-74.03891444206238,656,161,71,828,60,888,1,07/01/2018
34,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,955,259,144,1201,157,1358,1,07/01/2018
35,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,154,74,14,209,33,242,1,07/01/2018
36,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,343,189,29,539,22,561,1,07/01/2018
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275,490,140,27,618,39,657,1,07/01/2018
38,3280,Astor Place,40.71928220070703,-74.07126188278198,172,52,5,218,11,229,1,07/01/2018
39,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,319,17,9,316,29,345,1,07/01/2018
40,3481,York St,40.71649,-74.04105,285,113,34,374,58,432,1,07/01/2018
41,3483,Montgomery St,40.71942,-74.05099,261,66,61,363,25,388,1,07/01/2018
42,3638,Washington St,40.7242941,-74.0354826,503,234,127,707,157,864,1,07/01/2018
43,3639,Harborside,40.71925170000001,-74.034234,1071,249,174,1341,153,1494,1,07/01/2018
44,3640,Journal Square,40.733670000000004,-74.0625,585,81,22,652,36,688,1,07/01/2018
45,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,142,30,11,148,35,183,1,07/01/2018
46,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,272,82,22,325,51,376,1,07/01/2018
47,3679,Bergen Ave,40.72210378668603,-74.07145500183104,223,114,7,328,16,344,1,07/01/2018
48,3681,Grand St,40.71517767732029,-74.03768330812454,393,111,62,501,65,566,1,07/01/2018
49,3694,Jackson Square,40.71113,-74.0789,30,16,6,48,4,52,1,07/01/2018
0,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,0,0,1,1,0,1,0,07/01/2018
1,304,Broadway & Battery Pl,40.70463334,-74.01361706,0,0,1,1,0,1,0,07/01/2018
2,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,1,0,1,2,0,2,0,07/01/2018
3,345,W 13 St & 6 Ave,40.73649403,-73.99704374,1,0,0,0,1,1,0,07/01/2018
