,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,1498,308,261,1796,271,2067,1,06/01/2018
1,3184,Paulus Hook,40.7141454,-74.0335519,901,172,108,1056,125,1181,1,06/01/2018
2,3185,City Hall,40.717732500000004,-74.04384499999999,699,309,80,1019,69,1088,1,06/01/2018
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3160,1004,211,4206,169,4375,1,06/01/2018
4,3187,Warren St,40.721123600000006,-74.03805095,791,279,109,1113,66,1179,1,06/01/2018
5,3191,Union St,40.71821129999999,-74.08363940000001,72,21,1,93,1,94,1,06/01/2018
6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,455,186,213,591,263,854,1,06/01/2018
7,3193,Lincoln Park,40.7246050998869,-74.07840594649316,206,42,21,239,30,269,1,06/01/2018
8,3194,McGinley Square,40.7253399253558,-74.06762212514876,429,106,21,535,21,556,1,06/01/2018
9,3195,Sip Ave,40.730742625306576,-74.06378388404845,1577,454,52,2014,69,2083,1,06/01/2018
10,3196,Riverview Park,40.7443187,-74.04399090000001,189,43,32,226,38,264,1,06/01/2018
11,3198,Heights Elevator,40.748715945380226,-74.04044330120088,275,29,43,287,60,347,1,06/01/2018
12,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,782,366,143,1109,182,1291,1,06/01/2018
13,3201,Dey St,40.737711,-74.066921,136,22,7,157,8,165,1,06/01/2018
14,3202,Newport PATH,40.7272235,-74.03375890000001,1325,409,146,1746,134,1880,1,06/01/2018
15,3203,Hamilton Park,40.727595965999996,-74.044247311,1673,592,132,2311,86,2397,1,06/01/2018
16,3205,JC Medical Center,40.71653978099194,-74.0496379137039,408,104,99,503,108,611,1,06/01/2018
17,3206,Hilltop,40.7311689,-74.0575736,259,99,33,356,35,391,1,06/01/2018
18,3207,Oakland Ave,40.7376037,-74.05247829999999,382,184,9,556,19,575,1,06/01/2018
19,3209,Brunswick St,40.7241765,-74.05065640000001,551,234,38,766,57,823,1,06/01/2018
20,3210,Pershing Field,40.742677141,-74.051788633,380,90,36,466,40,506,1,06/01/2018
21,3211,Newark Ave,40.72152515,-74.046304543,830,203,85,1041,77,1118,1,06/01/2018
22,3212,Christ Hospital,40.734785818,-74.050443636,157,72,26,230,25,255,1,06/01/2018
23,3213,Van Vorst Park,40.71848892,-74.047726625,674,334,62,996,74,1070,1,06/01/2018
24,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,531,188,57,714,62,776,1,06/01/2018
25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,210,39,7,242,14,256,1,06/01/2018
26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,355,100,43,439,59,498,1,06/01/2018
27,3267,Morris Canal,40.7124188237569,-74.03852552175522,800,202,168,1052,118,1170,1,06/01/2018
28,3268,Lafayette Park,40.71346382669195,-74.06285852193831,187,38,19,202,42,244,1,06/01/2018
29,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,585,274,44,877,26,903,1,06/01/2018
30,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,592,200,25,777,40,817,1,06/01/2018
31,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,584,223,27,803,31,834,1,06/01/2018
32,3273,Manila & 1st,40.72165072487999,-74.04288411140442,498,171,42,665,46,711,1,06/01/2018
33,3275,Columbus Drive,40.71835519823214,-74.03891444206238,648,149,81,828,50,878,1,06/01/2018
34,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,927,277,91,1167,128,1295,1,06/01/2018
35,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,162,42,13,193,24,217,1,06/01/2018
36,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,357,209,22,576,12,588,1,06/01/2018
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275,441,145,55,589,52,641,1,06/01/2018
38,3280,Astor Place,40.71928220070703,-74.07126188278198,221,49,3,255,18,273,1,06/01/2018
39,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,311,24,10,326,19,345,1,06/01/2018
40,3426,JCBS Depot,40.70965083364061,-74.0686011314392,6,0,0,6,0,6,1,06/01/2018
41,3481,York St,40.71649,-74.04105,249,88,19,326,30,356,1,06/01/2018
42,3483,Montgomery St,40.71942,-74.05099,159,56,33,237,11,248,1,06/01/2018
43,3638,Washington St,40.7242941,-74.0354826,483,238,121,712,130,842,1,06/01/2018
44,3639,Harborside,40.71925170000001,-74.034234,1174,221,156,1414,137,1551,1,06/01/2018
45,3640,Journal Square,40.733670000000004,-74.0625,468,113,30,585,26,611,1,06/01/2018
46,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,120,41,10,158,13,171,1,06/01/2018
47,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,255,85,13,337,16,353,1,06/01/2018
48,3679,Bergen Ave,40.72210378668603,-74.07145500183104,240,112,6,347,11,358,1,06/01/2018
49,3681,Grand St,40.71517767732029,-74.03768330812454,415,99,42,511,45,556,1,06/01/2018
0,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,0,0,7,7,0,7,0,06/01/2018
1,276,Duane St & Greenwich St,40.71748752,-74.0104554,1,0,0,1,0,1,0,06/01/2018
2,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,3,1,2,2,4,6,0,06/01/2018
3,331,Pike St & Monroe St,40.71173107,-73.99193043,0,0,1,0,1,1,0,06/01/2018
4,447,8 Ave & W 52 St,40.76370739,-73.9851615,0,0,4,0,4,4,0,06/01/2018
5,505,6 Ave & W 33 St,40.74901271,-73.98848395,0,0,1,0,1,1,0,06/01/2018
6,514,12 Ave & W 40 St,40.76087502,-74.00277668,0,0,2,0,2,2,0,06/01/2018
