,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,1946,338,290,2321,253,2574,1,08/01/2018
1,3184,Paulus Hook,40.7141454,-74.0335519,866,171,92,1014,115,1129,1,08/01/2018
2,3185,City Hall,40.717732500000004,-74.04384499999999,719,336,52,1037,70,1107,1,08/01/2018
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3531,1060,215,4654,152,4806,1,08/01/2018
4,3187,Warren St,40.721123600000006,-74.03805095,914,266,106,1212,74,1286,1,08/01/2018
5,3191,Union St,40.71821129999999,-74.08363940000001,49,44,6,89,10,99,1,08/01/2018
6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,506,236,168,664,246,910,1,08/01/2018
7,3193,Lincoln Park,40.7246050998869,-74.07840594649316,220,56,24,254,46,300,1,08/01/2018
8,3194,McGinley Square,40.7253399253558,-74.06762212514876,476,88,29,569,24,593,1,08/01/2018
9,3195,Sip Ave,40.730742625306576,-74.06378388404845,1622,457,68,2078,69,2147,1,08/01/2018
10,3196,Riverview Park,40.7443187,-74.04399090000001,217,32,19,243,25,268,1,08/01/2018
11,3198,Heights Elevator,40.748715945380226,-74.04044330120088,274,32,20,295,31,326,1,08/01/2018
12,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,874,378,139,1199,192,1391,1,08/01/2018
13,3201,Dey St,40.737711,-74.066921,113,18,5,131,5,136,1,08/01/2018
14,3202,Newport PATH,40.7272235,-74.03375890000001,1459,427,122,1869,139,2008,1,08/01/2018
15,3203,Hamilton Park,40.727595965999996,-74.044247311,1807,674,155,2526,110,2636,1,08/01/2018
16,3205,JC Medical Center,40.71653978099194,-74.0496379137039,357,130,44,466,65,531,1,08/01/2018
17,3206,Hilltop,40.7311689,-74.0575736,276,82,38,353,43,396,1,08/01/2018
18,3207,Oakland Ave,40.7376037,-74.05247829999999,460,181,21,612,50,662,1,08/01/2018
19,3209,Brunswick St,40.7241765,-74.05065640000001,568,226,26,784,36,820,1,08/01/2018
20,3210,Pershing Field,40.742677141,-74.051788633,424,54,35,470,43,513,1,08/01/2018
21,3211,Newark Ave,40.72152515,-74.046304543,748,257,118,1036,87,1123,1,08/01/2018
22,3212,Christ Hospital,40.734785818,-74.050443636,210,110,25,299,46,345,1,08/01/2018
23,3213,Van Vorst Park,40.71848892,-74.047726625,620,312,66,946,52,998,1,08/01/2018
24,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,541,188,67,717,79,796,1,08/01/2018
25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,203,38,4,237,8,245,1,08/01/2018
26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,404,79,41,492,32,524,1,08/01/2018
27,3267,Morris Canal,40.7124188237569,-74.03852552175522,902,220,108,1157,73,1230,1,08/01/2018
28,3268,Lafayette Park,40.71346382669195,-74.06285852193831,159,89,24,243,29,272,1,08/01/2018
29,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,646,332,42,990,30,1020,1,08/01/2018
30,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,667,270,24,932,29,961,1,08/01/2018
31,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,632,294,51,926,51,977,1,08/01/2018
32,3273,Manila & 1st,40.72165072487999,-74.04288411140442,572,200,39,778,33,811,1,08/01/2018
33,3275,Columbus Drive,40.71835519823214,-74.03891444206238,702,192,55,897,52,949,1,08/01/2018
34,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,1103,267,119,1312,177,1489,1,08/01/2018
35,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,115,51,11,148,29,177,1,08/01/2018
36,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,361,234,21,601,15,616,1,08/01/2018
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275,514,138,24,659,17,676,1,08/01/2018
38,3280,Astor Place,40.71928220070703,-74.07126188278198,203,108,10,303,18,321,1,08/01/2018
39,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,318,15,14,321,26,347,1,08/01/2018
40,3426,JCBS Depot,40.70965083364061,-74.0686011314392,1,0,0,1,0,1,1,08/01/2018
41,3481,York St,40.71649,-74.04105,279,100,23,366,36,402,1,08/01/2018
42,3483,Montgomery St,40.71942,-74.05099,270,72,66,394,14,408,1,08/01/2018
43,3638,Washington St,40.7242941,-74.0354826,627,299,102,905,123,1028,1,08/01/2018
44,3639,Harborside,40.71925170000001,-74.034234,1202,294,161,1523,134,1657,1,08/01/2018
45,3640,Journal Square,40.733670000000004,-74.0625,616,147,30,745,48,793,1,08/01/2018
46,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,140,19,3,140,22,162,1,08/01/2018
47,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,286,70,19,341,34,375,1,08/01/2018
48,3679,Bergen Ave,40.72210378668603,-74.07145500183104,240,120,7,352,15,367,1,08/01/2018
49,3681,Grand St,40.71517767732029,-74.03768330812454,541,83,34,621,37,658,1,08/01/2018
50,3694,Jackson Square,40.71113,-74.0789,29,23,14,52,14,66,1,08/01/2018
0,127,Barrow St & Hudson St,40.73172428,-74.00674436,1,0,0,0,1,1,0,08/01/2018
1,146,Hudson St & Reade St,40.71625008,-74.0091059,1,0,0,1,0,1,0,08/01/2018
2,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,0,0,1,1,0,1,0,08/01/2018
3,167,E 39 St & 3 Ave,40.7489006,-73.97604882,1,0,0,0,1,1,0,08/01/2018
4,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,1,0,0,1,0,1,0,08/01/2018
5,306,Cliff St & Fulton St_1,40.70823502,-74.00530063,1,0,0,1,0,1,0,08/01/2018
6,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,2,1,1,4,0,4,0,08/01/2018
7,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,0,1,0,1,0,1,0,08/01/2018
8,398,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,0,0,1,1,0,1,0,08/01/2018
9,417,Barclay St & Church St,40.71291224,-74.01020234,1,0,0,1,0,1,0,08/01/2018
10,422,W 59 St & 10 Ave,40.770513,-73.988038,1,0,0,0,1,1,0,08/01/2018
11,453,W 22 St & 8 Ave,40.74475148,-73.99915362,1,0,0,1,0,1,0,08/01/2018
12,505,6 Ave & W 33 St,40.74901271,-73.98848395,1,0,0,1,0,1,0,08/01/2018
13,514,12 Ave & W 40 St,40.76087502,-74.00277668,1,0,0,1,0,1,0,08/01/2018
14,3183,Exchange Place,40.7162469,-74.0334588,2360,460,323,2853,290,3143,0,08/01/2018
15,3184,Paulus Hook,40.7141454,-74.0335519,720,116,108,837,107,944,0,08/01/2018
16,3185,City Hall,40.717732500000004,-74.04384499999999,778,314,57,1073,76,1149,0,08/01/2018
17,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4462,1445,266,5991,182,6173,0,08/01/2018
18,3187,Warren St,40.721123600000006,-74.03805095,829,266,89,1126,58,1184,0,08/01/2018
19,3191,Union St,40.71821129999999,-74.08363940000001,85,40,5,119,11,130,0,08/01/2018
20,3192,Liberty Light Rail,40.711242299999995,-74.0557013,558,245,172,708,267,975,0,08/01/2018
21,3193,Lincoln Park,40.7246050998869,-74.07840594649316,290,98,35,367,56,423,0,08/01/2018
22,3194,McGinley Square,40.7253399253558,-74.06762212514876,361,54,20,411,24,435,0,08/01/2018
23,3195,Sip Ave,40.730742625306576,-74.06378388404845,1362,416,44,1765,57,1822,0,08/01/2018
24,3196,Riverview Park,40.7443187,-74.04399090000001,177,29,15,205,16,221,0,08/01/2018
25,3198,Heights Elevator,40.748715945380226,-74.04044330120088,237,28,30,266,29,295,0,08/01/2018
26,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,895,335,143,1188,185,1373,0,08/01/2018
27,3201,Dey St,40.737711,-74.066921,136,48,8,186,6,192,0,08/01/2018
28,3202,Newport PATH,40.7272235,-74.03375890000001,1718,515,112,2196,149,2345,0,08/01/2018
29,3203,Hamilton Park,40.727595965999996,-74.044247311,1645,654,155,2336,118,2454,0,08/01/2018
30,3205,JC Medical Center,40.71653978099194,-74.0496379137039,394,133,79,515,91,606,0,08/01/2018
31,3206,Hilltop,40.7311689,-74.0575736,244,61,26,299,32,331,0,08/01/2018
32,3207,Oakland Ave,40.7376037,-74.05247829999999,340,116,13,433,36,469,0,08/01/2018
33,3209,Brunswick St,40.7241765,-74.05065640000001,487,213,32,692,40,732,0,08/01/2018
34,3210,Pershing Field,40.742677141,-74.051788633,416,66,28,473,37,510,0,08/01/2018
35,3211,Newark Ave,40.72152515,-74.046304543,725,283,107,1031,84,1115,0,08/01/2018
36,3212,Christ Hospital,40.734785818,-74.050443636,137,78,24,204,35,239,0,08/01/2018
37,3213,Van Vorst Park,40.71848892,-74.047726625,544,253,64,813,48,861,0,08/01/2018
38,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,676,193,58,871,56,927,0,08/01/2018
39,3220,5 Corners Library,40.73496102000952,-74.05950307846071,233,23,3,251,8,259,0,08/01/2018
40,3225,Baldwin at Montgomery,40.7236589,-74.0641943,366,40,53,419,40,459,0,08/01/2018
41,3267,Morris Canal,40.7124188237569,-74.03852552175522,709,208,102,946,73,1019,0,08/01/2018
42,3268,Lafayette Park,40.71346382669195,-74.06285852193831,201,74,15,271,19,290,0,08/01/2018
43,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,611,214,36,815,46,861,0,08/01/2018
44,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,534,239,8,763,18,781,0,08/01/2018
45,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,615,260,53,879,49,928,0,08/01/2018
46,3273,Manila & 1st,40.72165072487999,-74.04288411140442,560,226,28,785,29,814,0,08/01/2018
47,3275,Columbus Drive,40.71835519823214,-74.03891444206238,688,207,38,888,45,933,0,08/01/2018
48,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,1021,296,119,1279,157,1436,0,08/01/2018
49,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,130,64,9,180,23,203,0,08/01/2018
50,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,435,213,21,658,11,669,0,08/01/2018
51,3279,Dixon Mills,40.72163014263835,-74.04996782541275,453,143,20,591,25,616,0,08/01/2018
52,3280,Astor Place,40.71928220070703,-74.07126188278198,223,79,10,295,17,312,0,08/01/2018
53,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,308,12,17,315,22,337,0,08/01/2018
54,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,1,0,0,0,1,1,0,08/01/2018
55,3426,JCBS Depot,40.70965083364061,-74.0686011314392,21,1,0,22,0,22,0,08/01/2018
56,3481,York St,40.71649,-74.04105,257,83,15,329,26,355,0,08/01/2018
57,3483,Montgomery St,40.71942,-74.05099,240,86,61,351,36,387,0,08/01/2018
58,3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,0,1,0,1,0,1,0,08/01/2018
59,3638,Washington St,40.7242941,-74.0354826,628,281,120,894,135,1029,0,08/01/2018
60,3639,Harborside,40.71925170000001,-74.034234,1094,267,136,1371,126,1497,0,08/01/2018
61,3640,Journal Square,40.733670000000004,-74.0625,540,120,38,651,47,698,0,08/01/2018
62,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,85,39,3,120,7,127,0,08/01/2018
63,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,258,43,10,297,14,311,0,08/01/2018
64,3679,Bergen Ave,40.72210378668603,-74.07145500183104,216,113,9,318,20,338,0,08/01/2018
