,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3088,946,525,3822,737,4559,1,06/01/2018
1,79,Franklin St & W Broadway,40.71911552,-74.00666661,2137,780,272,2837,352,3189,1,06/01/2018
2,82,St James Pl & Pearl St,40.71117416,-74.00016545,719,357,70,1054,92,1146,1,06/01/2018
3,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1205,368,250,1532,291,1823,1,06/01/2018
4,119,Park Ave & St Edwards St,40.69608941,-73.97803415,197,71,37,258,47,305,1,06/01/2018
5,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,761,404,93,1137,121,1258,1,06/01/2018
6,127,Barrow St & Hudson St,40.73172428,-74.00674436,4794,1683,456,6286,647,6933,1,06/01/2018
7,128,MacDougal St & Prince St,40.72710258,-74.00297088,4410,1877,465,6087,665,6752,1,06/01/2018
8,143,Clinton St & Joralemon St,40.69239502,-73.99337909,1541,808,99,2332,116,2448,1,06/01/2018
9,144,Nassau St & Navy St,40.69839895,-73.98068914,390,249,256,587,308,895,1,06/01/2018
10,146,Hudson St & Reade St,40.71625008,-74.0091059,2270,920,228,3112,306,3418,1,06/01/2018
11,150,E 2 St & Avenue C,40.720873600000004,-73.98085795,1968,954,153,2897,178,3075,1,06/01/2018
12,151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,5083,2108,815,7033,973,8006,1,06/01/2018
13,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,1255,732,251,1998,240,2238,1,06/01/2018
14,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,3468,1626,605,4942,757,5699,1,06/01/2018
15,164,E 47 St & 2 Ave,40.75323098,-73.97032517,2178,698,190,2798,268,3066,1,06/01/2018
16,167,E 39 St & 3 Ave,40.7489006,-73.97604882,3601,740,280,4189,432,4621,1,06/01/2018
17,168,W 18 St & 6 Ave,40.73971301,-73.99456405,5563,1733,405,7186,515,7701,1,06/01/2018
18,173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,5032,1136,842,5871,1139,7010,1,06/01/2018
19,174,E 25 St & 1 Ave,40.7381765,-73.97738662,2449,993,131,3430,143,3573,1,06/01/2018
20,195,Liberty St & Broadway,40.70905623,-74.01043382,2899,744,569,3469,743,4212,1,06/01/2018
21,212,W 16 St & The High Line,40.74334935,-74.00681753,3227,1234,624,4256,829,5085,1,06/01/2018
22,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,522,230,248,689,311,1000,1,06/01/2018
23,217,Old Fulton St,40.70277159,-73.99383605,1651,817,1683,2056,2095,4151,1,06/01/2018
24,223,W 13 St & 7 Ave,40.73781509,-73.99994661,3197,1073,213,4214,269,4483,1,06/01/2018
25,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,2096,380,218,2368,326,2694,1,06/01/2018
26,229,Great Jones St,40.72743423,-73.99379025,5529,2068,498,7510,585,8095,1,06/01/2018
27,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,694,375,671,855,885,1740,1,06/01/2018
28,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3798,1437,466,5121,580,5701,1,06/01/2018
29,237,E 11 St & 2 Ave,40.73047309,-73.98672378,4105,1574,222,5573,328,5901,1,06/01/2018
30,238,Bank St & Washington St,40.7361967,-74.00859207,1996,857,359,2717,495,3212,1,06/01/2018
31,239,Willoughby St & Fleet St,40.69196566,-73.9813018,1971,866,120,2789,168,2957,1,06/01/2018
32,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,965,581,117,1531,132,1663,1,06/01/2018
33,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,859,322,125,1137,169,1306,1,06/01/2018
34,243,Fulton St & Rockwell Pl,40.688226,-73.979382,787,347,24,1120,38,1158,1,06/01/2018
35,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,1118,550,94,1680,82,1762,1,06/01/2018
36,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,516,246,62,742,82,824,1,06/01/2018
37,247,Perry St & Bleecker St,40.73535398,-74.00483091,1992,708,362,2604,458,3062,1,06/01/2018
38,248,Laight St & Hudson St,40.72185379,-74.00771779,979,329,83,1253,138,1391,1,06/01/2018
39,249,Harrison St & Hudson St,40.71870987,-74.0090009,1221,473,168,1704,158,1862,1,06/01/2018
40,251,Mott St & Prince St,40.72317958,-73.99480012,3946,1724,594,5501,763,6264,1,06/01/2018
41,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,2466,917,409,3268,524,3792,1,06/01/2018
42,253,W 13 St & 5 Ave,40.73543934,-73.99453948,2435,976,224,3329,306,3635,1,06/01/2018
43,254,W 11 St & 6 Ave,40.73532427,-73.99800419,2105,875,245,2911,314,3225,1,06/01/2018
44,257,Lispenard St & Broadway,40.71939226,-74.00247214,2669,869,377,3408,507,3915,1,06/01/2018
45,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,1453,692,169,2128,186,2314,1,06/01/2018
46,259,South St & Whitehall St,40.70122128,-74.01234218,2162,836,840,2696,1142,3838,1,06/01/2018
47,260,Broad St & Bridge St,40.70365182,-74.01167797,83,21,21,100,25,125,1,06/01/2018
48,261,Johnson St & Gold St,40.69474881,-73.98362464,1079,444,174,1456,241,1697,1,06/01/2018
49,262,Washington Park,40.6917823,-73.97372990000001,912,517,117,1420,126,1546,1,06/01/2018
50,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,1803,603,196,2313,289,2602,1,06/01/2018
51,265,Stanton St & Chrystie St,40.72229346,-73.99147535,3417,1440,513,4711,659,5370,1,06/01/2018
52,266,Avenue D & E 8 St,40.72368361,-73.97574813,1167,680,149,1882,114,1996,1,06/01/2018
53,267,Broadway & W 36 St,40.75097711,-73.98765428,3366,812,470,3991,657,4648,1,06/01/2018
54,268,Howard St & Centre St,40.71910537,-73.99973337,2812,1176,436,3832,592,4424,1,06/01/2018
55,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,1260,612,58,1845,85,1930,1,06/01/2018
56,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,1310,655,163,1954,174,2128,1,06/01/2018
57,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,859,342,39,1179,61,1240,1,06/01/2018
58,276,Duane St & Greenwich St,40.71748752,-74.0104554,1673,687,201,2303,258,2561,1,06/01/2018
59,278,Concord St & Bridge St,40.69766564,-73.98476437,506,277,167,726,224,950,1,06/01/2018
60,279,Peck Slip & Front St,40.707873,-74.00166999999999,2412,1068,785,3210,1055,4265,1,06/01/2018
61,280,E 10 St & 5 Ave,40.73331967,-73.99510132,1879,798,231,2634,274,2908,1,06/01/2018
62,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,4262,1427,3656,5132,4213,9345,1,06/01/2018
63,282,Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,919,660,455,1482,552,2034,1,06/01/2018
64,285,Broadway & E 14 St,40.73454567,-73.99074142,7003,2572,755,9403,927,10330,1,06/01/2018
65,289,Monroe St & Classon Ave,40.684568299999995,-73.95881081,554,346,83,895,88,983,1,06/01/2018
66,291,Madison St & Montgomery St,40.713126,-73.984844,1232,383,136,1627,124,1751,1,06/01/2018
67,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,6156,2076,578,8131,679,8810,1,06/01/2018
68,295,Pike St & E Broadway,40.71406667,-73.99293911,1692,715,226,2410,223,2633,1,06/01/2018
69,296,Division St & Bowery,40.71413089,-73.99704679999999,2283,819,345,2972,475,3447,1,06/01/2018
70,297,E 15 St & 3 Ave,40.734232,-73.986923,4095,1320,310,5364,361,5725,1,06/01/2018
71,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,739,406,108,1122,131,1253,1,06/01/2018
72,301,E 2 St & Avenue B,40.72217444,-73.98368779,2718,1174,275,3776,391,4167,1,06/01/2018
