,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,1673,379,169,2066,155,2221,1,10/01/2018
1,3184,Paulus Hook,40.7141454,-74.0335519,678,81,71,766,64,830,1,10/01/2018
2,3185,City Hall,40.717732500000004,-74.04384499999999,670,234,28,896,36,932,1,10/01/2018
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3566,1047,139,4636,116,4752,1,10/01/2018
4,3187,Warren St,40.721123600000006,-74.03805095,739,170,32,906,35,941,1,10/01/2018
5,3191,Union St,40.71821129999999,-74.08363940000001,91,34,3,119,9,128,1,10/01/2018
6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,557,179,59,673,122,795,1,10/01/2018
7,3193,Lincoln Park,40.7246050998869,-74.07840594649316,228,75,22,278,47,325,1,10/01/2018
8,3194,McGinley Square,40.7253399253558,-74.06762212514876,542,128,24,671,23,694,1,10/01/2018
9,3195,Sip Ave,40.730742625306576,-74.06378388404845,1430,335,44,1747,62,1809,1,10/01/2018
10,3196,Riverview Park,40.7443187,-74.04399090000001,167,54,7,213,15,228,1,10/01/2018
11,3198,Heights Elevator,40.748715945380226,-74.04044330120088,174,59,12,223,22,245,1,10/01/2018
12,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,653,274,65,879,113,992,1,10/01/2018
13,3201,Dey St,40.737711,-74.066921,135,13,0,147,1,148,1,10/01/2018
14,3202,Newport PATH,40.7272235,-74.03375890000001,1025,278,55,1307,51,1358,1,10/01/2018
15,3203,Hamilton Park,40.727595965999996,-74.044247311,1585,622,76,2208,75,2283,1,10/01/2018
16,3205,JC Medical Center,40.71653978099194,-74.0496379137039,363,93,44,448,52,500,1,10/01/2018
17,3206,Hilltop,40.7311689,-74.0575736,206,90,19,289,26,315,1,10/01/2018
18,3207,Oakland Ave,40.7376037,-74.05247829999999,431,117,16,545,19,564,1,10/01/2018
19,3209,Brunswick St,40.7241765,-74.05065640000001,639,223,22,839,45,884,1,10/01/2018
20,3210,Pershing Field,40.742677141,-74.051788633,465,69,29,514,49,563,1,10/01/2018
21,3211,Newark Ave,40.72152515,-74.046304543,718,192,37,904,43,947,1,10/01/2018
22,3212,Christ Hospital,40.734785818,-74.050443636,156,89,11,237,19,256,1,10/01/2018
23,3213,Van Vorst Park,40.71848892,-74.047726625,664,261,52,928,49,977,1,10/01/2018
24,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,542,140,17,672,27,699,1,10/01/2018
25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,195,48,11,230,24,254,1,10/01/2018
26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,245,57,20,298,24,322,1,10/01/2018
27,3267,Morris Canal,40.7124188237569,-74.03852552175522,743,212,87,1004,38,1042,1,10/01/2018
28,3268,Lafayette Park,40.71346382669195,-74.06285852193831,189,39,5,207,26,233,1,10/01/2018
29,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,568,290,26,857,27,884,1,10/01/2018
30,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,670,242,9,897,24,921,1,10/01/2018
31,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,550,257,25,817,15,832,1,10/01/2018
32,3273,Manila & 1st,40.72165072487999,-74.04288411140442,615,206,15,817,19,836,1,10/01/2018
33,3275,Columbus Drive,40.71835519823214,-74.03891444206238,616,119,28,722,41,763,1,10/01/2018
34,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,916,207,35,1091,67,1158,1,10/01/2018
35,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,121,17,6,120,24,144,1,10/01/2018
36,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,427,248,15,663,27,690,1,10/01/2018
37,3279,Dixon Mills,40.72163014263835,-74.04996782541275,455,116,1,560,12,572,1,10/01/2018
38,3280,Astor Place,40.71928220070703,-74.07126188278198,279,75,2,330,26,356,1,10/01/2018
39,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,247,47,5,291,8,299,1,10/01/2018
40,3426,JCBS Depot,40.70965083364061,-74.0686011314392,2,0,0,2,0,2,1,10/01/2018
41,3481,York St,40.71649,-74.04105,263,111,12,366,20,386,1,10/01/2018
42,3483,Montgomery St,40.71942,-74.05099,243,111,41,380,15,395,1,10/01/2018
43,3638,Washington St,40.7242941,-74.0354826,642,250,55,853,94,947,1,10/01/2018
44,3639,Harborside,40.71925170000001,-74.034234,1070,318,73,1386,75,1461,1,10/01/2018
45,3640,Journal Square,40.733670000000004,-74.0625,614,125,29,717,51,768,1,10/01/2018
46,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,122,30,4,138,18,156,1,10/01/2018
47,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,228,69,3,289,11,300,1,10/01/2018
48,3679,Bergen Ave,40.72210378668603,-74.07145500183104,202,109,22,325,8,333,1,10/01/2018
49,3681,Grand St,40.71517767732029,-74.03768330812454,506,85,17,584,24,608,1,10/01/2018
50,3694,Jackson Square,40.71113,-74.0789,64,25,1,79,11,90,1,10/01/2018
0,259,South St & Whitehall St,40.70122128,-74.01234218,1,0,0,1,0,1,0,10/01/2018
1,304,Broadway & Battery Pl,40.70463334,-74.01361706,2,0,0,2,0,2,0,10/01/2018
2,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,3,9,3,11,4,15,0,10/01/2018
3,448,W 37 St & 10 Ave,40.75660359,-73.9979009,1,0,0,0,1,1,0,10/01/2018
4,508,W 46 St & 11 Ave,40.76341379,-73.99667444,1,0,0,0,1,1,0,10/01/2018
5,3165,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,1,1,0,0,2,2,0,10/01/2018
6,3183,Exchange Place,40.7162469,-74.0334588,2286,442,193,2748,173,2921,0,10/01/2018
7,3184,Paulus Hook,40.7141454,-74.0335519,660,98,70,777,51,828,0,10/01/2018
8,3185,City Hall,40.717732500000004,-74.04384499999999,698,229,29,923,33,956,0,10/01/2018
9,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4510,1477,169,5981,175,6156,0,10/01/2018
10,3187,Warren St,40.721123600000006,-74.03805095,749,182,31,911,51,962,0,10/01/2018
11,3191,Union St,40.71821129999999,-74.08363940000001,140,26,4,147,23,170,0,10/01/2018
12,3192,Liberty Light Rail,40.711242299999995,-74.0557013,574,154,76,652,152,804,0,10/01/2018
13,3193,Lincoln Park,40.7246050998869,-74.07840594649316,257,91,17,322,43,365,0,10/01/2018
14,3194,McGinley Square,40.7253399253558,-74.06762212514876,413,56,12,468,13,481,0,10/01/2018
15,3195,Sip Ave,40.730742625306576,-74.06378388404845,1346,397,47,1739,51,1790,0,10/01/2018
16,3196,Riverview Park,40.7443187,-74.04399090000001,136,46,5,174,13,187,0,10/01/2018
17,3198,Heights Elevator,40.748715945380226,-74.04044330120088,176,63,17,235,21,256,0,10/01/2018
18,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,674,258,68,882,118,1000,0,10/01/2018
19,3201,Dey St,40.737711,-74.066921,155,34,3,187,5,192,0,10/01/2018
20,3202,Newport PATH,40.7272235,-74.03375890000001,993,245,53,1250,41,1291,0,10/01/2018
21,3203,Hamilton Park,40.727595965999996,-74.044247311,1470,563,59,2025,67,2092,0,10/01/2018
22,3205,JC Medical Center,40.71653978099194,-74.0496379137039,337,100,38,433,42,475,0,10/01/2018
23,3206,Hilltop,40.7311689,-74.0575736,178,62,15,237,18,255,0,10/01/2018
24,3207,Oakland Ave,40.7376037,-74.05247829999999,306,65,15,363,23,386,0,10/01/2018
25,3209,Brunswick St,40.7241765,-74.05065640000001,539,241,20,772,28,800,0,10/01/2018
26,3210,Pershing Field,40.742677141,-74.051788633,421,73,29,478,45,523,0,10/01/2018
27,3211,Newark Ave,40.72152515,-74.046304543,716,245,39,958,42,1000,0,10/01/2018
28,3212,Christ Hospital,40.734785818,-74.050443636,100,73,5,168,10,178,0,10/01/2018
