,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,683,158,63,875,29,904,1,12/01/2018
1,3184,Paulus Hook,40.7141454,-74.0335519,321,21,13,346,9,355,1,12/01/2018
2,3185,City Hall,40.717732500000004,-74.04384499999999,379,93,9,462,19,481,1,12/01/2018
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,1966,517,52,2496,39,2535,1,12/01/2018
4,3187,Warren St,40.721123600000006,-74.03805095,309,77,27,402,11,413,1,12/01/2018
5,3191,Union St,40.71821129999999,-74.08363940000001,39,17,0,55,1,56,1,12/01/2018
6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,269,44,19,303,29,332,1,12/01/2018
7,3193,Lincoln Park,40.7246050998869,-74.07840594649316,112,32,1,141,4,145,1,12/01/2018
8,3194,McGinley Square,40.7253399253558,-74.06762212514876,272,68,17,351,6,357,1,12/01/2018
9,3195,Sip Ave,40.730742625306576,-74.06378388404845,973,183,43,1179,20,1199,1,12/01/2018
10,3196,Riverview Park,40.7443187,-74.04399090000001,57,23,2,77,5,82,1,12/01/2018
11,3198,Heights Elevator,40.748715945380226,-74.04044330120088,92,35,6,120,13,133,1,12/01/2018
12,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,303,115,36,421,33,454,1,12/01/2018
13,3201,Dey St,40.737711,-74.066921,41,5,0,46,0,46,1,12/01/2018
14,3202,Newport PATH,40.7272235,-74.03375890000001,591,161,23,756,19,775,1,12/01/2018
15,3203,Hamilton Park,40.727595965999996,-74.044247311,785,362,38,1143,42,1185,1,12/01/2018
16,3205,JC Medical Center,40.71653978099194,-74.0496379137039,213,69,23,274,31,305,1,12/01/2018
17,3206,Hilltop,40.7311689,-74.0575736,86,46,9,136,5,141,1,12/01/2018
18,3207,Oakland Ave,40.7376037,-74.05247829999999,261,51,3,307,8,315,1,12/01/2018
19,3209,Brunswick St,40.7241765,-74.05065640000001,360,115,5,476,4,480,1,12/01/2018
20,3210,Pershing Field,40.742677141,-74.051788633,280,55,3,325,13,338,1,12/01/2018
21,3211,Newark Ave,40.72152515,-74.046304543,380,114,22,501,15,516,1,12/01/2018
22,3212,Christ Hospital,40.734785818,-74.050443636,57,41,4,95,7,102,1,12/01/2018
23,3213,Van Vorst Park,40.71848892,-74.047726625,341,125,14,468,12,480,1,12/01/2018
24,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,227,86,6,317,2,319,1,12/01/2018
25,3220,5 Corners Library,40.73496102000952,-74.05950307846071,95,19,2,113,3,116,1,12/01/2018
26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,185,39,35,233,26,259,1,12/01/2018
27,3267,Morris Canal,40.7124188237569,-74.03852552175522,360,92,33,470,15,485,1,12/01/2018
28,3268,Lafayette Park,40.71346382669195,-74.06285852193831,103,7,1,92,19,111,1,12/01/2018
29,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,378,163,6,539,8,547,1,12/01/2018
30,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,364,139,10,504,9,513,1,12/01/2018
31,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,312,133,19,454,10,464,1,12/01/2018
32,3273,Manila & 1st,40.72165072487999,-74.04288411140442,252,75,3,329,1,330,1,12/01/2018
